Agency,City,State,County,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,433474,0,0,0,8846,0,0,0,1478461,0,0,0,0,0,0
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,0,117672,0,0,0,0,0,0,0,486038,0,0,0,0,0
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,0,98180,0,0,0,0,0,0,0,346554,0,0,0,0,0
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",Harrisburg,PA,Dauphin,11287,0,0,0,0,0,0,0,64298,0,0,0,0,0,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,248817,0,0,0,0,0,0,652030,959115,0,0,0,0,0,236651
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,53580,83157,0,0,0,0,0,0,0,532985,0,0,0,0,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,17526,49661,0,0,0,0,0,0,375691,340538,0,0,0,0,0
San Joaquin Regional Transit District,Stockton,CA,San Joaquin,0,0,0,0,89299,0,0,0,465197,0,0,0,0,0,0
Mecklenburg County ,Charlotte,NC,Mecklenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Bristol,0,172710,0,0,0,0,0,0,0,1673725,0,0,0,0,0
Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,Bristol,149348,42172,0,0,0,0,0,0,1152121,100936,0,0,0,0,0
Mecklenburg County ,Charlotte,NC,Mecklenburg,0,57453,0,0,0,0,0,0,0,278924,0,0,0,0,0
Metropolitan Bus Authority,San Juan,PR,San Juan,936754,0,0,0,0,0,0,0,1709292,0,0,0,0,0,0
Metropolitan Bus Authority,San Juan,PR,San Juan,20915,37853,0,0,0,0,0,0,150431,444596,0,0,0,0,0
Monterey-Salinas Transit,Monterey,CA,Monterey,596417,0,0,0,0,0,0,11808,3096849,13385,0,0,0,0,31824
Monterey-Salinas Transit,Monterey,CA,Monterey,0,207141,0,0,0,0,0,0,0,1454369,0,0,0,0,0
Monterey-Salinas Transit,Monterey,CA,Monterey,11264,158327,0,0,0,0,0,0,23143,675888,0,0,0,0,0
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,25905,249588,0,337221,0,0,0,0,0,945498,0,975455,0,0,0
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,0,10946,0,0,0,0,0,0,0,0,0,0,0,0,0
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,0,9963,0,0,0,0,0,0,0,47926,0,0,0,0,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,282701,0,0,0,0,0,0,0,4667114,0,0,0,0,0,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,0,26736,0,0,0,0,0,0,0,1251012,0,0,0,0,0
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,Brevard,204821,5446,0,0,0,0,0,0,0,9729,0,0,0,0,0
Centre Area Transportation Authority,State College,PA,Centre,0,0,0,539333,0,0,0,0,0,0,0,1654915,0,0,0
