Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
Enterprise Rideshare - Michigan,Farmington Hills,MI,Oakland,0,164696,0,0,0,0,0,0
"Board of County Commissioners, Palm Beach County, dba: Palm Tran",West Palm Beach,FL,Palm Beach,1828860,1247686,0,0,0,445566,0,0
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,1673865,363971,138151,1575490,0,0,32090136,0
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,2175783,524449,0,0,0,0,3318000,0
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,Mecklenburg,1958153,60398,0,0,0,0,16788420,0
Georgia State Road and Tollway Authority,Atlanta,GA,Fulton,1028058,240929,0,0,0,0,0,0
Ben Franklin Transit,Richland,WA,Benton,527914,304513,0,0,0,0,0,3038
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,San Mateo,2163604,85322,0,0,6442,0,0,30
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,3279119,0,0,412903,0,0,20749583,0
"Westchester County, dba: The Bee-Line System",White Plains,NY,Westchester,2242545,169150,0,0,0,0,0,0
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,Milwaukee,3113134,206259,0,0,0,0,0,0
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,Los Angeles,0,341350,522834,2459638,0,0,0,117761
Niagara Frontier Transportation Authority,Buffalo,NY,Erie,1349982,241185,0,1019678,0,0,7920559,0
Rhode Island Public Transit Authority,Providence,RI,Providence,2256120,37152,0,0,0,0,0,0
Transit Authority of River City,Louisville,KY,Jefferson,1472204,347041,0,0,0,0,0,535223
Suburban Mobility Authority for Regional Transportation,Detroit,MI,Wayne,2292777,1749,557976,0,0,0,0,0
Central Ohio Transit Authority,Columbus,OH,Franklin,1398958,33814,0,1975363,0,0,0,0
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,Sacramento,29823,150779,0,2424367,0,0,30089655,75511
Greater Richmond Transit Company,Richmond,VA,Richmond,346019,213340,0,1677436,0,0,0,0
Southwest Ohio Regional Transit Authority,Cincinnati,OH,Hamilton,2212396,0,0,0,0,0,0,0
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,,2118471,235430,0,0,0,0,0,58322
City of Tucson,Tucson   ,AZ,,698,514068,0,902015,1671027,0,1833440,2845
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,692401,134330,0,1387745,0,0,0,0
Victor Valley Transit Authority,Hesperia,CA,San Bernardino,0,454479,0,939571,0,0,0,277339
Regional Transportation Commission of Washoe County,Reno,NV,Washoe,0,208748,0,179937,635399,0,0,1332945
Spokane Transit Authority,Spokane,WA,Spokane,1323191,123409,0,0,0,0,0,0
"Montgomery County, Maryland, dba: Ride On - Montgomery County Transit",Rockville,MD,Montgomery,2064931,7647,0,1349473,0,0,0,0
"County of Nassau, dba: Nassau Inter County Express",Mineola,NY,Nassau,80731,110155,0,2665303,0,0,0,0
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,442412,296439,0,1931716,0,0,0,170812
"City of Detroit, dba: Detroit Department of Transportation",Detroit,MI,Wayne,2782163,225162,0,0,0,0,0,0
Cape Cod Regional Transit Authority,Hyannis,MA,,88957,222605,0,0,90193,0,0,0
Port Authority Trans-Hudson Corporation,New York,NJ,,282500,0,0,0,0,0,93567629,0
Foothill Transit,West Covina,CA,Los Angeles,0,0,0,5024392,0,0,0,1517879
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,41917,161055,0,0,588407,0,0,0
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,Wake,0,0,0,479016,679258,0,0,0
Riverside Transit Agency,Riverside,CA,Riverside,0,754574,0,2249104,0,0,0,0
Jacksonville Transportation Authority,Jacksonville,FL,Duval,1287800,479320,0,1310671,0,0,750850,0
Capital District Transportation Authority,Albany,NY,Albany,2042304,223610,0,0,0,0,0,42126
"Suffolk County, dba: Departmentt of Public Works - Transportation Division",Yaphank,NY,Suffolk,1191346,1105512,0,0,0,0,0,0
Intercity Transit,Olympia,WA,Thurston,411016,119455,54772,0,0,0,0,0
Metropolitan Transit Authority,Madison,TN,,1383851,494076,0,0,0,0,0,18426
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,130184,907139,0,179394,0,0,0,0
Regional Transit Service - Monroe County,Rochester,NY,Monroe,1349441,293931,0,0,0,0,0,0
Pioneer Valley Transit Authority,Springfield,MA,Hampden,1080075,307684,0,0,0,0,0,154874
Kitsap Transit,Bremerton,WA,Kitsap,640929,28080,144155,0,506050,0,0,14108
Omnitrans,San Bernardino,CA,San Bernardino,0,192711,0,2836169,0,0,0,0
Mass Transportation Authority ,Flint,MI,Genesee,98898,63687,804642,687422,0,310,0,0
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,Kent,741880,49852,350235,536971,0,0,0,0
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,Capitol,2365714,0,0,0,0,0,0,0
"Fairfax County, VA, dba: Fairfax Connector ",Fairfax,VA,Fairfax,2405054,0,0,0,0,0,0,0
City of Madison,Madison,WI,Dane,861616,0,0,0,0,0,0,0
Lane Transit District,Eugene,OR,Lane,825156,151510,0,0,0,0,0,61087
"Central New York Regional Transportation Authority, dba: CENTRO ",Syracuse,NY,Onondaga,337602,202481,0,893482,0,0,0,0
Indianapolis and Marion County Public Transportation,Indianapolis,IN,Marion,1788523,266621,0,0,0,0,0,4785789
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,St. Clair,1428,69988,0,278812,0,0,0,0
METRO Regional Transit Authority ,Akron,OH,Summit,379492,29676,0,817632,0,0,0,0
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,Bernalillo,1361558,298498,0,224908,0,0,0,0
North County Transit District,Oceanside,CA,San Diego,1199495,180342,0,1562227,0,0,0,0
Des Moines Area Regional Transit Authority,Des Moines,IA,Polk,824648,91772,0,0,0,0,0,0
"City of El Paso, dba: Sun Metro",El Paso,TX,El Paso,0,0,0,2289191,0,0,427974,0
Toledo Area Regional Transit Authority,Toledo,OH,Lucas,0,2133,0,0,596805,0,0,0
Long Beach Transit,Long Beach,CA,Los Angeles,126276,733075,0,1119035,0,0,0,411097
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,Los Angeles,8293151,0,0,0,0,0,0,0
Greater Dayton Regional Transit Authority,Dayton,OH,Montgomery,1032848,291146,0,0,0,0,3188890,0
Hillsborough Area Regional Transit Authority,Tampa,FL,Hillsborough,1105640,153295,0,1142321,0,0,738468,0
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,Los Angeles,0,17,0,1667101,0,159629,0,46483
"Academy Lines, Inc.",Hoboken,NJ,Hudson,564450,0,0,0,0,0,0,0
Capital Area Transportation Authority,Lansing,MI,Ingham,634630,322866,0,0,6951,0,0,0
New Orleans Regional Transit Authority,New Orleans,LA,Orleans,187312,148296,0,0,1573702,0,3613000,0
South Central Transit Authority,Lancaster,PA,Lancaster,0,467828,0,0,609951,0,0,0
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,Clark,916142,16343,0,0,0,0,0,0
Tampa Bay Area Regional Transit Authority,Tampa,FL,Hillsborough,0,122960,0,0,0,0,0,0
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,722781,309630,12913,0,0,0,0,0
Metropolitan Transportation Commission,San Francisco,CA,San Francisco,0,162005,0,0,0,0,0,0
"Municipality of Anchorage, dba: Public Transportation Department",Anchorage,AK,Anchorage,404617,183210,0,0,0,0,0,0
"Westmoreland County, dba: Westmoreland Transit",Greensburg,PA,Westmoreland,125999,95138,0,132991,0,0,0,0
"Hudson Transit Lines, Inc., dba: Short Line",Mahwah,NJ,,767762,0,0,0,0,0,0,0
"City of Gainesville, FL, dba: Regional Transit System",Gainesville,FL,Alachua,844994,119863,0,0,0,0,0,0
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,443137,126382,0,475045,0,0,0,0
