MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"State College, PA",10843.0,272398.0,1873383.0,8396.0,77350.0,30045.0,144159.0,4072.0,99538.0,40092.0,364830.0,14662.0,239739.0,11005.0,12451.0
"Staunton-Waynesboro, VA",3211.0,117316.0,1021843.0,12804.0,93632.0,34930.0,139187.0,872.0,117941.0,13523.0,489161.0,3715.0,836042.0,8474.0,1618.0
"Stockton-Lodi, CA",5138.0,2593352.0,0.0,107894.0,142665.0,241477.0,114651.0,22841.0,48.0,686046.0,11466.0,89880.0,38638.0,32948.0,18458.0
"Sumter, SC",1570.0,449920.0,13675.0,8590.0,70520.0,28319.0,123907.0,43528.0,300106.0,48064.0,28881.0,17721.0,37642.0,64257.0,726509.0
"Syracuse, NY",15157.0,783502.0,2435367.0,57647.0,271524.0,136699.0,416437.0,60774.0,373501.0,47528.0,243018.0,286543.0,1087449.0,92006.0,845073.0
"Tallahassee, FL",15082.0,234192.0,33442.0,21244.0,149890.0,68437.0,373668.0,249384.0,2595221.0,337592.0,203198.0,127905.0,158562.0,322604.0,2228338.0
"Tampa-St. Petersburg-Clearwater, FL",63912.0,138557.0,3950.0,287092.0,938185.0,859300.0,890858.0,296920.0,912105.0,122385.0,32305.0,339969.0,1076083.0,109123.0,1643064.0
"Terre Haute, IN",19222.0,2194219.0,974485.0,19681.0,127619.0,54255.0,205158.0,16180.0,15723.0,41564.0,141207.0,91569.0,269915.0,15346.0,86923.0
"Texarkana, TX-AR",26683.0,460019.0,519357.0,26253.0,208371.0,83780.0,169064.0,87415.0,908370.0,177663.0,381047.0,224292.0,1641145.0,202614.0,1000395.0
"The Villages, FL",9967.0,2484.0,558.0,10826.0,56438.0,54513.0,99367.0,71003.0,256803.0,28101.0,929.0,30329.0,451883.0,14967.0,580798.0
"Toledo, OH",12941.0,2608130.0,241440.0,108125.0,290870.0,214050.0,226648.0,35840.0,8453.0,20470.0,6618.0,45081.0,79811.0,1174.0,60123.0
"Topeka, KS",11212.0,1943424.0,1134830.0,29546.0,238178.0,76481.0,302057.0,23406.0,6626.0,2321566.0,117374.0,188368.0,3035684.0,13064.0,26251.0
"Trenton, NJ",1262.0,67215.0,115333.0,27189.0,97479.0,63433.0,121520.0,3868.0,1465.0,1625.0,13627.0,8561.0,45268.0,2864.0,87841.0
"Tucson, AZ",266911.0,129256.0,3143.0,81167.0,361791.0,288894.0,354377.0,14046.0,349944.0,2870620.0,2336.0,8319.0,2335.0,21526997.0,180568.0
"Tulsa, OK",36019.0,570868.0,5939652.0,144222.0,488479.0,327743.0,810330.0,65599.0,30860.0,5534993.0,18604.0,582443.0,3580828.0,311589.0,147817.0
