Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal),County Name,MSA
Kansas City Area Transportation Authority,Kansas City,MO,Jackson,692401,134330,0,1387745,0,0,0,0,Jackson,"Kansas City, MO-KS"
Victor Valley Transit Authority,Hesperia,CA,San Bernardino,0,454479,0,939571,0,0,0,277339,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
Regional Transportation Commission of Washoe County,Reno,NV,Washoe,0,208748,0,179937,635399,0,0,1332945,Washoe,"Reno, NV"
Spokane Transit Authority,Spokane,WA,Spokane,1323191,123409,0,0,0,0,0,0,Spokane,"Spokane-Spokane Valley, WA"
"Montgomery County, Maryland, dba: Ride On - Montgomery County Transit",Rockville,MD,Montgomery,2064931,7647,0,1349473,0,0,0,0,Montgomery,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
"County of Nassau, dba: Nassau Inter County Express",Mineola,NY,Nassau,80731,110155,0,2665303,0,0,0,0,Nassau,"New York-Newark-Jersey City, NY-NJ-PA"
"Fort Worth Transportation Authority, dba: Trinity Metro",Fort Worth,TX,Tarrant,442412,296439,0,1931716,0,0,0,170812,Tarrant,"Dallas-Fort Worth-Arlington, TX"
"City of Detroit, dba: Detroit Department of Transportation",Detroit,MI,Wayne,2782163,225162,0,0,0,0,0,0,Wayne,"Detroit-Warren-Dearborn, MI"
Cape Cod Regional Transit Authority,Hyannis,MA,Barnstable,88957,222605,0,0,90193,0,0,0,Barnstable,"Barnstable Town, MA"
Port Authority Trans-Hudson Corporation,New York,NJ,Hudson,282500,0,0,0,0,0,93567629,0,Hudson,"New York-Newark-Jersey City, NY-NJ-PA"
Foothill Transit,West Covina,CA,Los Angeles,0,0,0,5024392,0,0,0,1517879,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Ann Arbor Area Transportation Authority,Ann Arbor,MI,Washtenaw,41917,161055,0,0,588407,0,0,0,Washtenaw,"Ann Arbor, MI"
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,Wake,0,0,0,479016,679258,0,0,0,Wake,"Raleigh-Cary, NC"
Riverside Transit Agency,Riverside,CA,Riverside,0,754574,0,2249104,0,0,0,0,Riverside,"Riverside-San Bernardino-Ontario, CA"
Jacksonville Transportation Authority,Jacksonville,FL,Duval,1287800,479320,0,1310671,0,0,750850,0,Duval,"Jacksonville, FL"
Capital District Transportation Authority,Albany,NY,Albany,2042304,223610,0,0,0,0,0,42126,Albany,"Albany-Schenectady-Troy, NY"
"Suffolk County, dba: Departmentt of Public Works - Transportation Division",Yaphank,NY,Suffolk,1191346,1105512,0,0,0,0,0,0,Suffolk,"New York-Newark-Jersey City, NY-NJ-PA"
Intercity Transit,Olympia,WA,Thurston,411016,119455,54772,0,0,0,0,0,Thurston,"Olympia-Lacey-Tumwater, WA"
Metropolitan Transit Authority,Madison,TN,Davidson,1383851,494076,0,0,0,0,0,18426,Davidson,"Nashville-Davidson--Murfreesboro--Franklin, TN"
"Central Pennsylvania Transportation Authority, dba: Rabbit Transit",York,PA,York,130184,907139,0,179394,0,0,0,0,York,"York-Hanover, PA"
Regional Transit Service - Monroe County,Rochester,NY,Monroe,1349441,293931,0,0,0,0,0,0,Monroe,"Rochester, NY"
Pioneer Valley Transit Authority,Springfield,MA,Hampden,1080075,307684,0,0,0,0,0,154874,Hampden,"Springfield, MA"
Kitsap Transit,Bremerton,WA,Kitsap,640929,28080,144155,0,506050,0,0,14108,Kitsap,"Bremerton-Silverdale-Port Orchard, WA"
Omnitrans,San Bernardino,CA,San Bernardino,0,192711,0,2836169,0,0,0,0,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
Mass Transportation Authority ,Flint,MI,Genesee,98898,63687,804642,687422,0,310,0,0,Genesee,"Flint, MI"
"Interurban Transit Partnership, dba: The Rapid",Grand Rapids,MI,Kent,741880,49852,350235,536971,0,0,0,0,Kent,"Grand Rapids-Kentwood, MI"
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,Capitol,2365714,0,0,0,0,0,0,0,,
"Fairfax County, VA, dba: Fairfax Connector ",Fairfax,VA,Fairfax,2405054,0,0,0,0,0,0,0,Fairfax,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Fairfax County, VA, dba: Fairfax Connector ",Fairfax,VA,Fairfax,2405054,0,0,0,0,0,0,0,Fairfax,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
City of Madison,Madison,WI,Dane,861616,0,0,0,0,0,0,0,Dane,"Madison, WI"
Lane Transit District,Eugene,OR,Lane,825156,151510,0,0,0,0,0,61087,Lane,"Eugene-Springfield, OR"
"Central New York Regional Transportation Authority, dba: CENTRO ",Syracuse,NY,Onondaga,337602,202481,0,893482,0,0,0,0,Onondaga,"Syracuse, NY"
Indianapolis and Marion County Public Transportation,Indianapolis,IN,Marion,1788523,266621,0,0,0,0,0,4785789,Marion,"Indianapolis-Carmel-Anderson, IN"
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,St. Clair,1428,69988,0,278812,0,0,0,0,St. Clair,"Detroit-Warren-Dearborn, MI"
METRO Regional Transit Authority ,Akron,OH,Summit,379492,29676,0,817632,0,0,0,0,Summit,"Akron, OH"
"City of Albuquerque, dba: ABQRIDE",Albuquerque,NM,Bernalillo,1361558,298498,0,224908,0,0,0,0,Bernalillo,"Albuquerque, NM"
North County Transit District,Oceanside,CA,San Diego,1199495,180342,0,1562227,0,0,0,0,San Diego,"San Diego-Chula Vista-Carlsbad, CA"
Des Moines Area Regional Transit Authority,Des Moines,IA,Polk,824648,91772,0,0,0,0,0,0,Polk,"Des Moines-West Des Moines, IA"
"City of El Paso, dba: Sun Metro",El Paso,TX,El Paso,0,0,0,2289191,0,0,427974,0,El Paso,"El Paso, TX"
Toledo Area Regional Transit Authority,Toledo,OH,Lucas,0,2133,0,0,596805,0,0,0,Lucas,"Toledo, OH"
Long Beach Transit,Long Beach,CA,Los Angeles,126276,733075,0,1119035,0,0,0,411097,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,Los Angeles,8293151,0,0,0,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Greater Dayton Regional Transit Authority,Dayton,OH,Montgomery,1032848,291146,0,0,0,0,3188890,0,Montgomery,"Dayton-Kettering, OH"
Hillsborough Area Regional Transit Authority,Tampa,FL,Hillsborough,1105640,153295,0,1142321,0,0,738468,0,Hillsborough,"Tampa-St. Petersburg-Clearwater, FL"
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,Los Angeles,0,17,0,1667101,0,159629,0,46483,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"Academy Lines, Inc.",Hoboken,NJ,Hudson,564450,0,0,0,0,0,0,0,Hudson,"New York-Newark-Jersey City, NY-NJ-PA"
Capital Area Transportation Authority,Lansing,MI,Ingham,634630,322866,0,0,6951,0,0,0,Ingham,"Lansing-East Lansing, MI"
New Orleans Regional Transit Authority,New Orleans,LA,Orleans,187312,148296,0,0,1573702,0,3613000,0,Orleans,"New Orleans-Metairie, LA"
South Central Transit Authority,Lancaster,PA,Lancaster,0,467828,0,0,609951,0,0,0,Lancaster,"Lancaster, PA"
Clark County Public Transportation Benefit Area Authority,Vancouver,WA,Clark,916142,16343,0,0,0,0,0,0,Clark,"Portland-Vancouver-Hillsboro, OR-WA"
Tampa Bay Area Regional Transit Authority,Tampa,FL,Hillsborough,0,122960,0,0,0,0,0,0,Hillsborough,"Tampa-St. Petersburg-Clearwater, FL"
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,Volusia,722781,309630,12913,0,0,0,0,0,Volusia,"Deltona-Daytona Beach-Ormond Beach, FL"
Metropolitan Transportation Commission,San Francisco,CA,San Francisco,0,162005,0,0,0,0,0,0,San Francisco,"San Francisco-Oakland-Berkeley, CA"
"Municipality of Anchorage, dba: Public Transportation Department",Anchorage,AK,Anchorage,404617,183210,0,0,0,0,0,0,,
"Westmoreland County, dba: Westmoreland Transit",Greensburg,PA,Westmoreland,125999,95138,0,132991,0,0,0,0,Westmoreland,"Pittsburgh, PA"
"Hudson Transit Lines, Inc., dba: Short Line",Mahwah,NJ,Bergen,767762,0,0,0,0,0,0,0,Bergen,"New York-Newark-Jersey City, NY-NJ-PA"
"City of Gainesville, FL, dba: Regional Transit System",Gainesville,FL,Alachua,844994,119863,0,0,0,0,0,0,Alachua,"Gainesville, FL"
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,443137,126382,0,475045,0,0,0,0,Lehigh,"Allentown-Bethlehem-Easton, PA-NJ"
Greater Hartford Transit District,Hartford,CT,Capitol,75279,510929,0,0,0,0,0,0,,
"City of Fresno, dba: Fresno Area Express",Fresno,CA,Fresno,0,189320,0,1656089,0,0,0,0,Fresno,"Fresno, CA"
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,971341,49352,0,0,1856186,0,0,0,San Francisco,"San Francisco-Oakland-Berkeley, CA"
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,774404,48767,0,200860,0,0,0,147473,Leon,"Tallahassee, FL"
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,1343674,117332,0,0,0,0,739700,0,Shelby,"Memphis, TN-MS-AR"
City of Alexandria ,Alexandria,VA,Alexandria,527426,0,0,0,0,0,0,0,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,610413,148958,0,0,0,0,0,227250,Contra Costa,"San Francisco-Oakland-Berkeley, CA"
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,San Mateo,3815352,91237,0,0,0,0,0,0,San Mateo,"San Francisco-Oakland-Berkeley, CA"
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,143623,0,340009,205694,0,0,0,Marion,"Salem, OR"
Green Mountain Transit Authority,Burlington,VT,Chittenden,394526,163345,0,0,0,0,0,20169,Chittenden,"Burlington-South Burlington, VT"
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,602937,97541,0,0,0,0,0,0,Durham,"Durham-Chapel Hill, NC"
Madison County Transit District,Granite City,IL,Madison,765313,154885,0,0,0,0,0,0,Madison,"St. Louis, MO-IL"
Minnesota Valley Transit Authority,Burnsville,MN,Dakota,0,27458,0,0,533371,0,0,0,Dakota,"Minneapolis-St. Paul-Bloomington, MN-WI"
San Joaquin Council,Stockton,CA,San Joaquin,0,140183,0,0,0,0,0,0,San Joaquin,"Stockton, CA"
Denton County Transportation Authority,Lewisville,TX,Denton,336338,146281,0,22296,0,0,0,0,Denton,"Dallas-Fort Worth-Arlington, TX"
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,2293,61361,0,0,629740,0,0,0,Champaign,"Champaign-Urbana, IL"
Rides Mass Transit District,Harrisburg,IL,Saline,170786,325839,0,0,21108,36204,0,0,,
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,147941,28664,0,813599,0,0,0,0,Nueces,"Corpus Christi, TX"
Transit Authority of Northern Kentucky,Covington,KY,Kenton,735859,56000,0,0,0,0,0,0,Kenton,"Cincinnati, OH-KY-IN"
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,472810,75050,0,0,0,0,0,0,El Paso,"Colorado Springs, CO"
Transit Authority of Omaha,Omaha,NE,Douglas,588017,1753,0,195325,0,0,0,0,Douglas,"Omaha-Council Bluffs, NE-IA"
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,338716,0,116620,0,0,0,0,Sacramento,"Sacramento-Roseville-Folsom, CA"
