Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
Kanawha Valley Regional Transportation Authority,Charleston,WV,Kanawha,0,26742,0,226910
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,0,24422,0,137982
"City of Harrisonburg, dba: Harrisonburg Transit",Harrisonburg,VA,Harrisonburg,0,20828,0,95384
"Hampton Jitney, Inc.",Calverton,NY,Suffolk,290389,0,1754270,0
Heart of Iowa Regional Transit Agency,Urbandale,IA,Polk,13676,114401,85141,709862
"City of Harrisonburg, dba: Harrisonburg Transit",Harrisonburg,VA,Harrisonburg,173371,696,638748,26336
Kanawha Valley Regional Transportation Authority,Charleston,WV,Kanawha,331078,42238,1409745,261512
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,Colbert,276,52172,2213,352742
"Housatonic Area Regional Transit, dba: HARTransit",Danbury,CT,Western Connecticut,152368,50492,514247,211570
Connecticut Department of Transportation,Newington,CT,Hartford,1678569,0,724004,0
Connecticut Department of Transportation,Newington,CT,Hartford,102338,0,181190,0
"Housatonic Area Regional Transit, dba: HARTransit",Danbury,CT,Western Connecticut,2652,50895,33144,426114
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,40319,7283,364522,63041
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,48112,7767,337424,70561
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,Colbert,0,0,0,0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,0,3161,0,61198
STAR Transit,Terrell,TX,Kaufman,0,59173,0,115063
STAR Transit,Terrell,TX,Kaufman,0,152918,0,1127513
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,Okaloosa,368,86889,3044,826548
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,Okaloosa,859,60380,1,354890
"Western Maine Transportation Services, Inc.",Auburn,ME,Androscoggin,4852,16838,0,263019
Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,Capitol,377622,0,1202340,0
"Bloomington-Normal Public Transit System, dba: Connect Transit",Normal,IL,McLean,0,0,1345849,0
"Western Maine Transportation Services, Inc.",Auburn,ME,Androscoggin,11613,8919,27972,53049
"Bloomington-Normal Public Transit System, dba: Connect Transit",Normal,IL,McLean,0,53908,0,310658
"Western Maine Transportation Services, Inc.",Auburn,ME,Androscoggin,0,24595,0,132789
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,Winnebago,87392,0,488752,0
"City of Visalia, dba: Visalia Transit",Visalia,CA,Tulare,0,0,0,0
"Golden Crescent Regional Planning Commission, dba: Victoria Transit",Victoria,TX,Victoria,19396,13352,31448,99169
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,0,25551,0,81605
"City of Waukesha, dba: Waukesha Metro Transit",Waukesha,WI,Waukesha,27021,0,0,0
"City of Waukesha, dba: Waukesha Metro Transit",Waukesha,WI,Waukesha,44,1555,0,0
Texas State University,San Marcos,TX,Hays,193296,0,833745,0
"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,Union,268458,0,1158044,0
"City of Visalia, dba: Visalia Transit",Visalia,CA,Tulare,0,0,0,0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,32086,0,166271,0
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,Winnebago,0,0,0,0
"City of Waukesha, dba: Waukesha Metro Transit",Waukesha,WI,Waukesha,2405,1489,22998,0
"City of Visalia, dba: Visalia Transit",Visalia,CA,Tulare,0,0,0,0
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",New Port Richey,FL,Pasco,338507,0,1667281,0
"Golden Crescent Regional Planning Commission, dba: Victoria Transit",Victoria,TX,Victoria,0,64526,0,436504
City of Lawrence,Lawrence,KS,Douglas,129293,51477,443914,393304
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,0,9492,0,139771
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,0,2765,0,17972
City of Lawrence,Lawrence,KS,Douglas,0,72883,0,340395
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",New Port Richey,FL,Pasco,11211,63738,104021,333837
"City of Waukesha, dba: Waukesha Metro Transit",Waukesha,WI,Waukesha,125396,0,656533,0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,25535,5783,140839,59382
"City of Waukesha, dba: Waukesha Metro Transit",Waukesha,WI,Waukesha,62035,0,0,0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,0,11141,0,177051
"Golden Crescent Regional Planning Commission, dba: Victoria Transit",Victoria,TX,Victoria,0,49909,0,329092
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,Winnebago,6908,0,0,0
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,Solano,0,23472,0,145508
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,Racine,0,18001,0,119693
The Transportation Management Association Group,Franklin,TN,Williamson,0,41284,0,706214
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency",Decatur,AL,Morgan,0,46877,0,304904
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,Racine,48816,0,0,0
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,Racine,221845,0,1012426,0
Monroe County Transportation  Authority,Swiftwater,PA,Monroe,0,129954,0,801166
"Frederick County, Maryland, dba: TransIT Services of Frederick County",Frederick,MD,Frederick,100666,32176,564582,166131
"Frederick County, Maryland, dba: TransIT Services of Frederick County",Frederick,MD,Frederick,1370,31856,18522,443888
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,Solano,129774,0,562935,0
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,Solano,205456,0,1032569,0
Monroe County Transportation  Authority,Swiftwater,PA,Monroe,84789,0,462837,0
Solano County Transit,Vallejo,CA,Solano,0,25285,0,178545
Bloomington Public Transportation Corporation,Bloomington,IN,Monroe,0,16927,0,92003
The Woodlands Township,The Woodlands,TX,Montgomery,0,0,0,0
The Woodlands Township,The Woodlands,TX,Montgomery,0,0,0,0
"Valley Metro Rail, Inc.",Phoenix,AZ,Maricopa,0,0,0,0
North Carolina State University,Raleigh,NC,Wake,176753,0,643654,0
Bloomington Public Transportation Corporation,Bloomington,IN,Monroe,191369,3972,886607,20969
The Woodlands Township,The Woodlands,TX,Montgomery,159058,0,996216,0
"Lake County Board of County Commissioners, dba: LakeXpress",Tavares,FL,Lake,0,164989,0,1064703
Solano County Transit,Vallejo,CA,Solano,123448,291,688580,0
Solano County Transit,Vallejo,CA,Solano,307,0,780,0
"Lake County Board of County Commissioners, dba: LakeXpress",Tavares,FL,Lake,125584,1563,530536,27220
"City of Plymouth, dba: Plymouth Metrolink",Plymouth,MN,Hennepin,5512,26268,0,146942
Anne Arundel County,Annapolis,MD,Anne Arundel,0,81255,0,0
"University of California, Davis, dba: Unitrans",Davis,CA,Yolo,0,1364,64244,7253
Regional Planning Commission of Greater Birmingham,Birmingham,AL,Jefferson,0,37880,0,229164
Anne Arundel County,Annapolis,MD,Anne Arundel,0,120419,0,717848
"City of Plymouth, dba: Plymouth Metrolink",Plymouth,MN,Hennepin,103541,2723,633344,274898
City of Santa Rosa,Santa Rosa,CA,Sonoma,191763,0,853338,0
"Council on Aging of St. Lucie, Inc., dba: Community Transit",Fort Pierce,FL,St. Lucie,55212,4073,409950,6186
"City of Iowa City, dba: Iowa City Transit",Iowa City,IA,Johnson,163335,0,668631,0
"The Tri-County Council for the Lower Eastern Shore of Maryland, dba: Shore Transit",Salisbury,MD,Wicomico,0,25389,0,0
Pomona Valley Transportation Authority,La Verne,CA,Los Angeles,0,53549,0,0
Pomona Valley Transportation Authority,La Verne,CA,Los Angeles,0,0,0,0
"The Tri-County Council for the Lower Eastern Shore of Maryland, dba: Shore Transit",Salisbury,MD,Wicomico,31541,48405,158670,146655
"City of Iowa City, dba: Iowa City Transit",Iowa City,IA,Johnson,3013,32814,24403,189743
"Council on Aging of St. Lucie, Inc., dba: Community Transit",Fort Pierce,FL,St. Lucie,126599,0,539900,0
City of Santa Rosa,Santa Rosa,CA,Sonoma,0,27635,0,193416
City of Santa Rosa,Santa Rosa,CA,Sonoma,0,2934,0,21892
Muncie Indiana Transit System,Muncie,IN,Delaware,0,0,0,0
Topeka Metropolitan Transit Authority,Topeka,KS,Shawnee,0,24429,0,145050
Topeka Metropolitan Transit Authority,Topeka,KS,Shawnee,0,0,0,0
"City of Williamsport, dba: River Valley Transit",Williamsport,PA,Lycoming,0,8436,0,0
"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Bay Minette,AL,Baldwin,0,78784,0,507479
"City of Williamsport, dba: River Valley Transit",Williamsport,PA,Lycoming,54976,324,195957,3550
Muncie Indiana Transit System,Muncie,IN,Delaware,0,0,711963,0
"City of Fargo, dba: Metropolitan Area Transit",Fargo,ND,Cass,217202,2267,1031585,7901
"City of Fayetteville, dba: Fayetteville Area System of Transit",Fayetteville,NC,Cumberland,257652,20533,1138097,63038
"City of Cedar Rapids, dba: Cedar Rapids Transit",Cedar Rapids,IA,Linn,195237,0,884137,0
Topeka Metropolitan Transit Authority,Topeka,KS,Shawnee,183010,0,928159,0
Butler County Regional Transit Authority,Hamilton,OH,Butler,1158,7606,103332,552652
Butler County Regional Transit Authority,Hamilton,OH,Butler,0,53865,0,168516
Butler County Regional Transit Authority,Hamilton,OH,Butler,41558,37069,105422,0
"City of Cedar Rapids, dba: Cedar Rapids Transit",Cedar Rapids,IA,Linn,12905,24401,108142,278320
"City of Fayetteville, dba: Fayetteville Area System of Transit",Fayetteville,NC,Cumberland,0,50186,0,0
"City of Fargo, dba: Metropolitan Area Transit",Fargo,ND,Cass,0,41515,0,273928
"County of Washington, dba: Washington County Transit",West Bend,WI,Washington,63591,0,0,0
Board of  Clermont County Commissioners,Batavia,OH,Clermont,4934,13924,0,0
City of Kokomo,Kokomo,IN,Howard,24924,0,175021,0
Central Indiana Regional Transportation Authority ,Indianapolis,IN,Marion,25129,0,0,0
Altamont Corridor Express,Stockton,CA,San Joaquin,514210,0,130583,0
County of Atlantic,Atlantic City,NJ,Atlantic,3036,73552,17617,470737
"Buncombe County, dba: Mountain Mobility",Asheville,NC,Buncombe,0,94403,0,1452596
Central Indiana Regional Transportation Authority ,Indianapolis,IN,Marion,0,6967,0,35023
"Buncombe County, dba: Mountain Mobility",Asheville,NC,Buncombe,0,117,0,0
City of Kokomo,Kokomo,IN,Howard,4749,62156,37693,364212
"County of Washington, dba: Washington County Transit",West Bend,WI,Washington,0,93048,0,837612
Metropolitan Evansville Transit System,Evansville,IN,Vanderburgh,136417,0,835280,0
"Su Tran LLC dba: Sioux Area Metro, dba: Sioux Area Metro",Sioux Falls,SD,Minnehaha,128053,0,660906,0
"Su Tran LLC dba: Sioux Area Metro, dba: Sioux Area Metro",Sioux Falls,SD,Minnehaha,40384,0,271088,0
Board of  Clermont County Commissioners,Batavia,OH,Clermont,0,36318,0,0
Yuba-Sutter Transit Authority,Marysville,CA,Yuba,116774,0,318505,0
Metropolitan Evansville Transit System,Evansville,IN,Vanderburgh,73133,0,237413,0
Board of  Clermont County Commissioners,Batavia,OH,Clermont,0,19039,0,0
Yuba-Sutter Transit Authority,Marysville,CA,Yuba,77297,0,503631,0
Yuba-Sutter Transit Authority,Marysville,CA,Yuba,12395,32653,103946,0
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Woods Hole,MA,Barnstable,2847103,0,314274,0
City of Glendale,Glendale,CA,Los Angeles,0,17360,0,146059
Via Mobility Services,Boulder,CO,Boulder,0,64833,0,551067
Greater Portland Transit District,Portland,ME,Cumberland,182552,0,944320,0
City of Glendale,Glendale,CA,Los Angeles,0,0,0,0
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Woods Hole,MA,Barnstable,54572,0,181079,0
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,Blair,12101,0,63458,0
Beaver County Transit Authority,Rochester,PA,Beaver,55279,6154,231487,53355
Beaver County Transit Authority,Rochester,PA,Beaver,0,62248,0,474428
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,Blair,0,8943,0,0
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,Blair,63,0,0,0
"Ozaukee County, dba: Ozaukee County Transit Services ",Port Washington,WI,Ozaukee,10981,0,0,0
Alaska Railroad Corporation,Anchorage,AK,Anchorage,411818,0,955159,0
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit",Knoxville,TN,Knox,0,169448,0,1117771
"Ozaukee County, dba: Ozaukee County Transit Services ",Port Washington,WI,Ozaukee,0,49911,0,731252
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,Los Angeles,0,0,0,0
"County Commissioners of Charles County, MD, dba: VanGO",La Plata,MD,Charles,0,213607,0,788020
Bay County Transportation Planning Organization,Pensacola,FL,Escambia,81539,0,455830,0
Bay County Transportation Planning Organization,Pensacola,FL,Escambia,0,62570,0,398992
"County Commissioners of Charles County, MD, dba: VanGO",La Plata,MD,Charles,0,64174,0,634129
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,Los Angeles,0,45980,0,198604
The Tri-State Transit Authority,Huntington,WV,Cabell,0,46347,0,197720
"County of Fayette, dba: Fayette Area Coordinated Transportation",Uniontown,PA,Fayette,33223,15179,226349,73777
Monsey New Square Trails Corporation,Spring Valley,NY,Rockland,214625,0,588252,0
"County of Fayette, dba: Fayette Area Coordinated Transportation",Uniontown,PA,Fayette,21292,0,61916,0
The Tri-State Transit Authority,Huntington,WV,Cabell,193206,0,892883,0
"County of Fayette, dba: Fayette Area Coordinated Transportation",Uniontown,PA,Fayette,0,134965,0,878306
Delaware County Transit Board,Delaware,OH,Delaware,1076,42974,0,0
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit",Huntsville,AL,Madison,0,74816,0,625061
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit",Huntsville,AL,Madison,146816,9296,767034,0
Delaware County Transit Board,Delaware,OH,Delaware,781,6073,21010,669506
"City of Norwalk, dba: Norwalk Transit System ",Norwalk,CA,Los Angeles,0,11725,0,67399
"LINK Hendricks County, dba: Sycamore Svcs, Morgan County Connect, Senior Svcs",Danville,IN,Hendricks,0,38923,0,434900
"City of Norwalk, dba: Norwalk Transit System ",Norwalk,CA,Los Angeles,0,60343,0,206356
"Missoula Urban Transportation District, dba: Mountain Line",Missoula,MT,Missoula,134502,0,632182,0
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,Woodbury,132902,0,556718,0
"City of Waco, dba: Waco Transit System",Waco,TX,McLennan,144435,0,1375762,0
"City of Waco, dba: Waco Transit System",Waco,TX,McLennan,45437,19157,287015,422856
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,Woodbury,0,26215,0,180594
"Missoula Urban Transportation District, dba: Mountain Line",Missoula,MT,Missoula,6794,12897,37248,157159
Ulster County ,Kingston,NY,Ulster,0,22372,0,0
"Spartanburg Regional Health Services, Inc.",Spartanburg,SC,Spartanburg,0,156182,0,395904
Mid-Ohio Regional Planning Commission,Columbus,OH,Franklin,0,18777,0,257248
Ulster County ,Kingston,NY,Ulster,101813,24846,0,0
"City of La Crosse, dba: Municipal Transit",La Crosse,WI,La Crosse,143305,0,861564,0
"City of La Crosse, dba: Municipal Transit",La Crosse,WI,La Crosse,723,3838,0,0
"City of Green Bay, dba: Green Bay Metro",Green Bay,WI,Brown,0,20679,0,0
New York City Economic Development Corporation,New York,NY,Queens,0,0,0,0
Northern Arizona Intergovernmental Public Transportation Authority,Flagstaff,AZ,Coconino,0,4198,0,13001
Northern Arizona Intergovernmental Public Transportation Authority,Flagstaff,AZ,Coconino,0,11897,0,87269
New York City Economic Development Corporation,New York,NY,Queens,3151574,0,783193,0
"City of Green Bay, dba: Green Bay Metro",Green Bay,WI,Brown,143543,0,670607,0
"City of Billings, dba: Metropolitan Transit System (Billings MET)",Billings,MT,Yellowstone,128260,0,660206,0
Northern Arizona Intergovernmental Public Transportation Authority,Flagstaff,AZ,Coconino,187692,0,902660,0
Indian River County,Vero Beach,FL,Indian River,95196,37704,659981,219869
Indian River County,Vero Beach,FL,Indian River,0,41489,0,361261
"City of Billings, dba: Metropolitan Transit System (Billings MET)",Billings,MT,Yellowstone,0,25286,0,162511
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,Santa Barbara,0,18838,0,122440
Cache Valley Transit District,Logan,UT,Cache,0,14125,0,93500
"University of Iowa, dba: CAMBUS",Iowa City,IA,Johnson,7164,0,28715,0
"University of Iowa, dba: CAMBUS",Iowa City,IA,Johnson,170860,0,663413,0
Cache Valley Transit District,Logan,UT,Cache,208514,0,1172329,0
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,Santa Barbara,179392,9096,790375,60210
Imperial County Transportation Commission,El Centro,CA,Imperial,129093,43070,633234,295790
Cooperative Alliance for Seacoast Transportation,Dover,NH,Strafford,60208,10021,523020,240128
Berkshire Regional Transit Authority,Pittsfield,MA,Berkshire,69587,68637,315263,515450
Cooperative Alliance for Seacoast Transportation,Dover,NH,Strafford,0,20194,0,252447
Berkshire Regional Transit Authority,Pittsfield,MA,Berkshire,0,34725,0,274979
Imperial County Transportation Commission,El Centro,CA,Imperial,0,49878,0,344403
"City of Jackson, MS, dba: JATRAN",Jackson,MS,Hinds,265018,0,754019,0
Redding Area Bus Authority,Redding,CA,Shasta,0,39578,0,257851
"City of Jackson, MS, dba: JATRAN",Jackson,MS,Hinds,18972,49684,87237,378274
Redding Area Bus Authority,Redding,CA,Shasta,132372,10852,645141,55048
University of Minnesota Transit,Minneapolis,MN,Hennepin,0,2490,0,22753
"Adirondack Transit Lines, Inc,, dba: Adirondack Trailways",Hurley,NY,Ulster,158986,0,2043113,0
University of Minnesota Transit,Minneapolis,MN,Hennepin,117798,12620,405088,45136
"City of Columbia, dba: Go COMO",Columbia,MO,Boone,0,24680,0,167470
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,Monroe,51514,0,140279,0
Greater Lynchburg Transit Company,Lynchburg,VA,Lynchburg,0,30000,0,181165
"City of Montgomery, dba: Montgomery Transit - The M ",Montgomery,AL,Montgomery,0,42000,0,0
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,Capitol,54642,0,208947,0
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,Clarke,0,12061,0,63290
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,Leon,810032,0,486222,0
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,Clarke,221075,0,920682,0
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,Capitol,207023,0,1005673,0
"City of Montgomery, dba: Montgomery Transit - The M ",Montgomery,AL,Montgomery,69423,140426,452247,965545
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,Monroe,46380,0,1075969,0
Greater Lynchburg Transit Company,Lynchburg,VA,Lynchburg,216242,0,982702,0
"City of Columbia, dba: Go COMO",Columbia,MO,Boone,0,0,291686,0
"County of Lebanon Transit Authority, dba: Lebanon Transit",Lebanon,PA,Lebanon,57923,0,289960,0
"County of Lebanon Transit Authority, dba: Lebanon Transit",Lebanon,PA,Lebanon,0,36353,0,258757
RiverCities Transit,Longview,WA,Cowlitz,0,0,253615,0
Macatawa Area Express Transportation Authority,Holland,MI,Ottawa,8717,26256,44948,1126192
"City of Brownsville, dba: Brownsville Metro (BMetro)",Brownsville,TX,Cameron,0,24205,0,144303
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,Charlotte,0,2319,0,16956
"Licking County, Ohio, dba: Licking County Transit Board",Newark,OH,Licking,14,99788,0,920946
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,Charlotte,26751,31897,203120,268182
"City of Brownsville, dba: Brownsville Metro (BMetro)",Brownsville,TX,Cameron,183074,4205,598386,29779
Macatawa Area Express Transportation Authority,Holland,MI,Ottawa,15811,47622,0,14976
RiverCities Transit,Longview,WA,Cowlitz,0,11094,808,62134
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,Pueblo,125316,0,470080,0
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,Pueblo,0,26959,0,215038
Williamsburg Area Transit Authority,Williamsburg,VA,Williamsburg,0,21374,0,194399
New York City Department of Transportation,New York,NY,Queens,4535218,0,184980,0
City of Riverside,Riverside,CA,Riverside,0,249,0,201
New York City Department of Transportation,New York,NY,Queens,148659,0,0,0
Williamsburg Area Transit Authority,Williamsburg,VA,Williamsburg,163761,3946,631478,37774
Great Falls Transit District,Great Falls,MT,Cascade,0,13780,0,186712
Kings County Area Public Transit Agency,Hanford,CA,Kings,0,18994,0,122628
Greenville Transit Authority,Greenville,SC,Greenville,0,15486,0,67397
Southeast Area Transit District,Preston,CT,New London,0,9584,0,93820
"City of Springfield, dba: CU Transit",Springfield,MO,Greene,0,17420,0,125850
City of Baltimore,Baltimore,MD,Baltimore,7235,0,21573,0
Pima Association of Governments,Tucson,AZ,Pima,0,18729,0,73789
City of Baltimore,Baltimore,MD,Baltimore,105292,0,239210,0
"City of Springfield, dba: CU Transit",Springfield,MO,Greene,204255,0,905580,0
Southeast Area Transit District,Preston,CT,New London,192740,9618,939031,0
Greenville Transit Authority,Greenville,SC,Greenville,141071,22027,572251,93081
Kings County Area Public Transit Agency,Hanford,CA,Kings,0,0,0,0
Great Falls Transit District,Great Falls,MT,Cascade,76327,0,370674,0
Cities Area Transit,Grand Forks,ND,Grand Forks,58861,16700,209908,119623
Cities Area Transit,Grand Forks,ND,Grand Forks,0,15888,0,0
Medina County Public Transit,Medina,OH,Medina,724,17726,106857,21224
Gary Public Transportation Corporation,Gary,IN,Lake,0,19987,0,56872
Medina County Public Transit,Medina,OH,Medina,0,0,0,0
Flagler County Public Transportation,Bunnell,FL,Flagler,0,82731,0,496103
Northern New England Passenger Rail Authority,Portland,ME,Cumberland,628302,0,0,0
Mid Mon Valley Transit Authority,Charleroi,PA,Washington,57743,0,279904,0
Gary Public Transportation Corporation,Gary,IN,Lake,162930,10044,736349,296188
Medina County Public Transit,Medina,OH,Medina,5900,18793,18206,159324
"Town of Huntington, dba: Hunting Area Rapid Transit",Huntington,NY,Suffolk,27639,29046,0,0
Pennsylvania Department of Transportation,Harrisburg,PA,Dauphin,0,0,0,0
"University of Kansas, dba: KU Parking & Transit",Lawrence,KS,Douglas,70849,0,489746,0
City of DeKalb,Dekalb,IL,Dekalb,141290,13935,592812,64628
"Town of Huntington, dba: Hunting Area Rapid Transit",Huntington,NY,Suffolk,0,21056,0,0
Cape Ann Transportation Authority,Gloucester,MA,Essex,0,20407,0,213141
Augusta Richmond County Transit Department,Augusta,GA,Richmond,19612,0,166527,0
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,Clackamas,1858,9018,0,0
"City of Asheville, dba: ART (Asheville Redefines Transit)",Asheville,NC,Buncombe,218878,0,930782,0
Washington State Ferries,Olympia,WA,Thurston,15606455,0,853470,0
"Greene County Transit Board, dba: Greene CATS Public Transit",Xenia,OH,Greene,0,112124,0,879891
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,Clackamas,39534,32308,295506,354580
Augusta Richmond County Transit Department,Augusta,GA,Richmond,143498,0,577279,0
Cape Ann Transportation Authority,Gloucester,MA,Essex,36604,10041,245092,66980
Michiana Area Council of Governments,South Bend,IN,St. Joseph,114340,0,665957,0
Michiana Area Council of Governments,South Bend,IN,St. Joseph,0,16969,0,258034
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,Lafayette,0,18697,0,158683
"City of Beaumont, dba: Beaumont Municipal Transit System",Beaumont,TX,Jefferson,21789,0,137653,0
"City of Albany, dba: Albany Transit System",Albany,GA,Dougherty,0,1760,0,12499
City of Glendale ,Glendale,AZ,Maricopa,7542,10247,35401,53279
"Miami County, Ohio, dba: Miami County Public Transit ",Troy,OH,Miami,0,50563,0,408800
"City of Scottsdale, dba: Scottsdale Trolley",Scottsdale,AZ,Maricopa,100926,0,610965,0
City of Glendale ,Glendale,AZ,Maricopa,437,46872,0,166755
"City of Albany, dba: Albany Transit System",Albany,GA,Dougherty,39176,0,148053,0
"City of Beaumont, dba: Beaumont Municipal Transit System",Beaumont,TX,Jefferson,0,0,0,0
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,Lafayette,77171,0,297048,0
Jackson Transit Authority,Jackson,TN,Madison,0,37917,0,240728
River Valley Metro Mass Transit District,Bourbonnais,IL,Kankakee,0,36873,0,372328
River Valley Metro Mass Transit District,Bourbonnais,IL,Kankakee,0,15346,0,305055
"Texoma Area Paratransit System, Inc",Sherman,TX,Grayson,0,62557,0,484096
River Valley Metro Mass Transit District,Bourbonnais,IL,Kankakee,78347,180698,392307,451301
Jackson Transit Authority,Jackson,TN,Madison,100934,9505,436534,126176
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,Jackson,82422,0,369796,0
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,Jackson,4491,13889,9914,171458
"City of Nashua, dba: Nashua Transit System",Nashua,NH,Hillsborough,0,23248,75668,317748
Ohio Valley Regional Transportation Authority,Wheeling,WV,Ohio,0,5680,0,40557
"City of Clemson, dba: Clemson Area Transit",Clemson,SC,Pickens,55200,0,239413,0
Jackson County Mass Transit District,Carbondale,IL,Jackson,1065,47847,0,337376
Ohio Valley Regional Transportation Authority,Wheeling,WV,Ohio,114593,30815,543237,58137
"City of Nashua, dba: Nashua Transit System",Nashua,NH,Hillsborough,0,472,42141,0
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,Sonoma,52729,0,273781,0
"Putnam County, dba: Putnam Area Rapid Transit ",Carmel,NY,Putnam,0,9500,0,59996
"Putnam County, dba: Putnam Area Rapid Transit ",Carmel,NY,Putnam,0,45951,0,337328
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,Sonoma,0,11438,0,68059
City of Portland,Portland,OR,Multnomah,0,0,0,0
"City of San Luis Obispo, dba: SLO Transit",San Luis Obispo,CA,San Luis Obispo,91095,2514,396794,5568
City of Portland,Portland,OR,Multnomah,0,0,0,0
Martin County,Stuart,FL,Martin,65200,6549,336498,40191
Tahoe Transportation District,Zephyr Cove,NV,Douglas,40499,0,97439,0
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,Los Angeles,0,0,0,0
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,Los Angeles,0,0,0,0
Martin County,Stuart,FL,Martin,24410,0,188401,0
Tahoe Transportation District,Zephyr Cove,NV,Douglas,29184,0,883561,0
Tahoe Transportation District,Zephyr Cove,NV,Douglas,5337,3558,149112,16424
Martin County,Stuart,FL,Martin,0,6261,0,0
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,Los Angeles,0,0,0,0
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,Los Angeles,0,0,0,0
Connecticut Department of Transportation -CTTRANSIT New Britain ,Berlin,CT,Hartford,208754,0,876908,0
City of Rome ,Rome,GA,Floyd,28186,18873,135505,48996
Milford Transit District,Milford,CT,New Haven,0,28436,0,195880
City of Rome ,Rome,GA,Floyd,141,14830,8078,87718
Milford Transit District,Milford,CT,New Haven,0,0,291224,0
City of Fort Lauderdale,Fort Lauderdale,FL,Broward,9975,0,7288,0
