Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
San Francisco Bay Area Rapid Transit District,Oakland,CA,Alameda,0,0,0,0
San Francisco Bay Area Rapid Transit District,Oakland,CA,Alameda,0,0,1206404,0
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,Broward,45691,0,0,0
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,Broward,4518047,0,11139824,0
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,Broward,0,370755,0,2001306
"City of Phoenix Public Transit Department, dba: Valley Metro",Phoenix,AZ,Maricopa,1856708,102371,6059958,539163
"City of Phoenix Public Transit Department, dba: Valley Metro",Phoenix,AZ,Maricopa,0,606245,0,3325117
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,Pierce,0,165807,0,1140088
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,Pierce,0,190072,0,3091765
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,Pierce,0,24030,0,143156
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,Pierce,126109,7481,543405,41667
Delaware Transit Corporation,Dover,DE,Kent,231058,68488,1276149,867774
Delaware Transit Corporation,Dover,DE,Kent,0,125188,0,485423
Delaware Transit Corporation,Dover,DE,Kent,0,216126,0,5534734
Delaware Transit Corporation,Dover,DE,Kent,1644507,0,7180495,0
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,St. Louis,0,0,0,0
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,St. Louis,3965272,0,18540881,0
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,St. Louis,625136,0,4876803,0
Montachusett Regional Transit Authority,Fitchburg,MA,Worcester,0,0,0,0
Montachusett Regional Transit Authority,Fitchburg,MA,Worcester,103565,47888,502031,437166
Montachusett Regional Transit Authority,Fitchburg,MA,Worcester,837,198519,0,1888162
Enterprise Rideshare - Michigan,Farmington Hills,MI,Oakland,0,164696,0,2033001
"Board of County Commissioners, Palm Beach County, dba: Palm Tran",West Palm Beach,FL,Palm Beach,3127,1247686,0,6314216
"Board of County Commissioners, Palm Beach County, dba: Palm Tran",West Palm Beach,FL,Palm Beach,1825733,0,7375932,0
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,0,186873,0,1783536
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,0,177098,0,1539448
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,0,0,0,0
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,1474410,0,9294960,0
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,0,0,0,0
The Greater Cleveland Regional Transit Authority,Cleveland,OH,Cuyahoga,199455,0,468874,0
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,0,491355,0,353808
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,Hampton,0,0,0,0
