MSA,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Lakeland-Winter Haven, FL",204700,171713,0,0,0,0,0,0,924615,1065299,0,0,0,0,0
"Lancaster, PA",0,467828,0,0,609951,0,0,0,3286449,3390872,0,0,0,0,0
"Lansing-East Lansing, MI",634630,322866,0,0,6951,0,0,0,3006561,2117815,0,0,0,0,0
"Laredo, TX",279880,54123,0,295880,0,0,0,0,927075,153909,0,931979,0,0,0
"Las Vegas-Henderson-Paradise, NV",0,0,0,7992456,709409,0,0,0,1691007,0,0,28735971,0,0,0
"Lawrence, KS",200142,124360,0,0,54866,0,0,0,933660,733699,0,0,0,0,0
"Lebanon, PA",57923,36353,0,40511,0,0,0,0,289960,258757,0,147171,0,0,0
"Lewiston-Auburn, ME",16465,50352,0,0,0,0,0,0,27972,448857,0,0,0,0,0
"Lexington-Fayette, KY",364737,255074,0,187543,0,0,0,187920,1397435,119782,0,466180,0,0,82545
"Lincoln, NE",178069,19792,0,237147,0,0,0,34944,882530,97584,0,1050220,0,0,0
"Little Rock-North Little Rock-Conway, AR",315451,125784,0,221510,0,0,203800,0,1195756,756050,0,884844,0,10917,0
"Logan, UT-ID",208514,14125,0,0,0,0,0,0,1172329,93500,0,0,0,0,0
"Longview, WA",0,11094,15857,0,57617,0,0,0,254423,62134,0,0,40815,0,0
"Los Angeles-Long Beach-Anaheim, CA",8938555,6737505,571619,52152542,0,702686,227158330,7177716,4213844,39084786,0,135824554,2379211,23378321,2634067
"Louisville/Jefferson County, KY-IN",1472204,411193,0,0,0,16,0,535223,6935293,3287208,0,0,250764,0,179962
"Lubbock, TX",352774,106624,0,0,0,0,0,70400,1088144,700640,0,0,0,0,20050
