MSA,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
"New York-Newark-Jersey City, NY-NJ-PA",266856,0,0,0,0,0,0,0
"Bellingham, WA",354935,82976,49438,0,0,0,0,0
"Columbia, SC",0,4104,332245,0,434518,0,0,0
"Worcester, MA-CT",323330,113996,0,0,0,0,0,163200
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1430638,0,0,0,0,0,0,0
"Cleveland-Elyria, OH",301158,32215,175346,0,0,0,0,0
"Riverside-San Bernardino-Ontario, CA",0,11395,0,1227911,0,55593,0,277105
"San Francisco-Oakland-Berkeley, CA",521476,129220,0,0,0,0,0,165177
"Atlanta-Sandy Springs-Alpharetta, GA",878591,0,0,17785,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,24754,0,712566,0,0,0,0
"Santa Maria-Santa Barbara, CA",585298,0,0,0,0,0,0,228171
"Boston-Cambridge-Newton, MA-NH",0,138686,0,106002,0,0,0,0
"Tulsa, OK",101722,30121,0,534007,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",415615,37677,0,0,0,0,0,4757622
"Washington-Arlington-Alexandria, DC-VA-MD-WV",581074,156600,0,0,0,0,0,0
"Peoria, IL",0,166395,0,0,507044,0,0,0
"Bakersfield, CA",0,15557,0,1392774,0,0,0,0
"Durham-Chapel Hill, NC",320862,208327,0,0,308279,0,0,0
"Greensboro-High Point, NC",375053,304894,0,0,0,0,0,165852
"Little Rock-North Little Rock-Conway, AR",315451,125784,0,221510,0,0,203800,0
"Mount Vernon-Anacortes, WA",172819,37641,53828,0,0,0,0,0
"Durham-Chapel Hill, NC",430831,58641,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",77455,48644,0,808496,0,0,0,0
"Pensacola-Ferry Pass-Brent, FL",347907,134047,0,0,0,0,0,0
"Portland-Vancouver-Hillsboro, OR-WA",0,69808,0,0,0,0,0,0
"Lubbock, TX",352774,106624,0,0,0,0,0,70400
"San Francisco-Oakland-Berkeley, CA",408339,231750,0,0,0,0,0,67433
"Los Angeles-Long Beach-Anaheim, CA",0,24588,0,572880,0,0,0,0
"Lincoln, NE",178069,19792,0,237147,0,0,0,34944
"Denver-Aurora-Lakewood, CO",0,31554,0,0,0,0,0,0
"Charleston-North Charleston, SC",508172,79926,0,0,0,0,0,145280
"Baton Rouge, LA",714468,92053,0,0,0,0,0,55000
"Scranton--Wilkes-Barre, PA",116482,99017,0,133399,0,0,0,0
"Riverside-San Bernardino-Ontario, CA",0,74517,0,0,0,0,0,0
"Boston-Cambridge-Newton, MA-NH",272628,81008,0,0,0,0,0,0
"Greensboro-High Point, NC",235173,95535,0,0,0,0,0,0
"Charlottesville, VA",0,211123,0,0,0,0,0,1584
"Providence-Warwick, RI-MA",333078,92442,0,0,0,0,0,0
"Boise City, ID",0,77996,0,0,0,0,0,0
"Knoxville, TN",647804,166976,0,0,0,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,0,0,0,0,32179173,0
"New York-Newark-Jersey City, NY-NJ-PA",1199582,0,0,0,0,0,0,0
"Savannah, GA",33395,162431,0,0,425654,0,0,0
"Boston-Cambridge-Newton, MA-NH",355824,96795,0,0,0,0,0,0
"Appleton, WI",162056,102594,0,0,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",0,0,48785,72930,0,523575,0,124436
"Oklahoma City, OK",666301,818,0,297111,0,0,1559300,0
"Kahului-Wailuku-Lahaina, HI",335732,159210,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",256059,0,0,0,0,0,0,0
"Kalamazoo-Portage, MI",331721,86427,0,0,0,0,0,0
"Lakeland-Winter Haven, FL",204700,171713,0,0,0,0,0,0
"Chattanooga, TN-GA",416359,116564,0,0,0,0,76000,222600
"Boise City, ID",4936,17572,0,435746,0,0,0,0
"Winston-Salem, NC",480075,191657,0,0,0,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA",0,17768,0,834797,0,0,0,0
"Santa Rosa-Petaluma, CA",0,101281,0,333741,0,0,0,8034
"Atlanta-Sandy Springs-Alpharetta, GA",508763,41249,0,0,0,0,0,0
"Boston-Cambridge-Newton, MA-NH",260876,73774,0,0,0,0,0,0
"Chicago-Naperville-Elgin, IL-IN-WI",0,0,0,0,0,0,18158000,0
"San Francisco-Oakland-Berkeley, CA",314256,23557,0,0,0,0,0,0
"Scranton--Wilkes-Barre, PA",244827,114074,0,37663,0,0,0,0
"Modesto, CA",508132,10716,0,0,0,0,0,690
"Ames, IA",309731,16010,0,0,11882,0,0,0
"Baltimore-Columbia-Towson, MD",267490,139238,0,0,0,0,0,52714
"Springfield, IL",0,90905,0,237301,167039,0,0,0
"Gulfport-Biloxi, MS",130997,37195,4490,0,0,0,0,0
"Louisville/Jefferson County, KY-IN",0,64152,0,0,0,16,0,0
"Canton-Massillon, OH",211956,0,0,342409,0,21975,0,0
"College Station-Bryan, TX",94900,206093,0,0,0,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL",3006651,0,0,0,0,0,0,0
"Pittsburgh, PA",47481,223479,0,0,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",22458,102084,0,0,0,0,0,0
"Dallas-Fort Worth-Arlington, TX",16953,21759,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",345567,0,0,0,0,0,1185958,1115207
"Duluth, MN-WI",354705,23419,0,0,0,0,0,480480
