Cluster,Cluster Name,Emissions per capita (MTCO2e),msa,Variable,Value
3,Sparse Auto,5.6768462885212,"North Port-Sarasota-Bradenton, FL",Population Density (/sq km),196.11861609034463
5,Auto Small,5.107018834692801,"Norwich-New London, CT",Population Density (/sq km),139.5637146379481
3,Sparse Auto,6.652215055271797,"Ocala, FL",Population Density (/sq km),83.69530277975109
1,Sparse Active,7.085187495037601,"Ocean City, NJ",Population Density (/sq km),57.15471725813084
5,Auto Small,6.1534497779287936,"Odessa, TX",Population Density (/sq km),69.24832508057902
1,Sparse Active,5.1272945195555195,"Ogden-Clearfield, UT",Population Density (/sq km),30.101183465021883
4,Auto Large,6.8054690807539755,"Oklahoma City, OK",Population Density (/sq km),96.6651886210218
5,Auto Small,4.487710977365074,"Olympia-Lacey-Tumwater, WA",Population Density (/sq km),141.62176605757077
4,Auto Large,5.787172591210157,"Omaha-Council Bluffs, NE-IA",Population Density (/sq km),82.35569713037579
4,Auto Large,5.897086156772827,"Orlando-Kissimmee-Sanford, FL",Population Density (/sq km),246.5276510485347
5,Auto Small,6.881687344925628,"Oshkosh-Neenah, WI",Population Density (/sq km),114.06868643458132
5,Auto Small,5.00580710216788,"Owensboro, KY",Population Density (/sq km),49.375852022920455
1,Sparse Active,3.7858414642226905,"Oxnard-Thousand Oaks-Ventura, CA",Population Density (/sq km),144.98620327780029
3,Sparse Auto,6.256612125306231,"Palm Bay-Melbourne-Titusville, FL",Population Density (/sq km),147.38878612716135
3,Sparse Auto,6.375523767086635,"Panama City, FL",Population Density (/sq km),67.33685412984453
5,Auto Small,4.542870734497769,"Parkersburg-Vienna, WV",Population Density (/sq km),57.02496317269837
3,Sparse Auto,5.986106088772011,"Pensacola-Ferry Pass-Brent, FL",Population Density (/sq km),93.59756804493983
3,Sparse Auto,5.935310596421382,"Peoria, IL",Population Density (/sq km),45.811115910981314
4,Auto Large,3.6057238570274834,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Population Density (/sq km),483.4400151188478
4,Auto Large,5.035403239554386,"Phoenix-Mesa-Chandler, AZ",Population Density (/sq km),128.67349200336255
3,Sparse Auto,7.925242608654885,"Pine Bluff, AR",Population Density (/sq km),16.55127099188367
4,Auto Large,4.221033439981065,"Pittsburgh, PA",Population Density (/sq km),168.0130591356579
5,Auto Small,4.212509812490091,"Pittsfield, MA",Population Density (/sq km),51.389771087394
1,Sparse Active,7.800445152024431,"Pocatello, ID",Population Density (/sq km),14.073490593723676
3,Sparse Auto,6.513700045467889,"Port St. Lucie, FL",Population Density (/sq km),129.05857070619916
3,Sparse Auto,5.526886321090759,"Portland-South Portland, ME",Population Density (/sq km),72.3810427926497
4,Auto Large,4.334763974074535,"Portland-Vancouver-Hillsboro, OR-WA",Population Density (/sq km),140.0045571452699
3,Sparse Auto,4.695465471903193,"Poughkeepsie-Newburgh-Middletown, NY",Population Density (/sq km),156.99059936625682
3,Sparse Auto,8.767307677261687,"Prescott Valley-Prescott, AZ",Population Density (/sq km),11.037081295061352
1,Sparse Active,4.609985854342272,"Provo-Orem, UT",Population Density (/sq km),44.064475518830015
1,Sparse Active,4.775314008793338,"Pueblo, CO",Population Density (/sq km),26.88709211577687
3,Sparse Auto,5.845805413879713,"Punta Gorda, FL",Population Density (/sq km),83.6836870487871
5,Auto Small,4.04664829760416,"Racine, WI",Population Density (/sq km),220.1375118623866
