msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration,GDP,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"San Jose-Sunnyvale-Santa Clara, CA",49337.0,118419.0,4.800413482781686,19845.880390000006,0.16759033930365907,2.720372134503517,38297.0,11207.928637999945,67248.0,166.66560549012527,1.0971415835410443,0.0028699738282179,7.069521023019842,5.487594434574272,2.8437251684829286,1.6059891588634643,140.31290054184774,6978.832065050573,4093956.6784121147,113.39465360065,53.4401399054,81.47034736232347,3.9231568224037714,1.5133931246629246,2.08497293410303,1.3933443860735473,9.614785370433252,"129,343","653,703",0.647,0.043,"1,985,926","688,111","34,479","178,162","261,298","179,764","7,017","53,677","165,695","20,104","86,037","30,938","52,380","46,880","223,229","198,591","82,748","39,866","25,717",361287757.0,3333792.0,379552.0,59829.0,0.0,0.0,0.0,22062611.0,125435.0,16383637.0,4845479.0,0.0,0.0,0.0,3093884.0,46875.0
"San Luis Obispo-Paso Robles, CA",14040.0,34767.0,4.952564102564103,11226.73053399992,0.3229134102453453,2.590954415954416,10156.0,5875.262788999977,18252.0,321.8969312404107,1.1154410137358588,0.0051501205347359,1.498339244703881,1.0838414080635768,1.1981090419378517,0.6270040462754304,35.66675643448052,9370.374599495151,1250332.27449092,37.5733090206,16.1254335266,82.77012483857081,0.9793370641411968,1.5889244203923496,4.709119980321014,0.9239899145194024,9.028503782055225,"77,948","106,244",0.552,0.045,"282,517","122,256","3,968","29,169","40,532","32,575","3,987","11,045","9,786","2,886","14,755","6,125","2,560","6,601","13,935","29,103","16,637","6,753","7,253",20458266.0,326646.0,80428.0,0.0,0.0,0.0,0.0,0.0,0.0,1738402.0,693799.0,0.0,0.0,0.0,0.0,0.0
"Santa Cruz-Watsonville, CA",10531.0,24600.0,4.671920995157155,5186.1454740000345,0.21081892170731847,2.4938752255246417,7309.0,2720.9444210000192,13165.0,206.6801687049008,1.1688403486726362,0.0069122673756171,6.879952432165128,4.775004494036172,3.388133526484542,1.7776059431246052,8.553908354493432,1530.6791876591335,817835.10427613,39.2810489247,10.704236234200001,76.7068152238514,2.2351286082920185,2.666957561896737,4.931426464945871,2.5781843623752096,10.88148777863876,"89,986","96,275",0.604,0.061,"273,170","105,819","4,982","26,500","35,598","29,195","6,645","9,108","11,785","3,415","14,552","5,182","3,221","6,077","17,008","34,376","15,047","5,896","4,795",18507711.0,133095.0,62960.0,0.0,545322.0,0.0,0.0,0.0,0.0,678927.0,546052.0,0.0,2111998.0,0.0,0.0,0.0
"Santa Fe, NM",12494.0,28828.0,4.6146950536257405,8719.467043000011,0.30246520892881956,2.53569713462462,8880.0,4653.080778000017,15875.0,293.1074505826782,1.1092652974249892,0.0129133858267716,2.527255483275749,1.7962244830709666,1.763752272744034,0.9412136953998346,11.083484787507748,4943.702796444492,1245369.45460725,106.0526342565,19.7144007258,85.98050249199784,0.9164121077478478,0.4516289334833891,1.7948230754614949,0.751253306829974,10.105380084479458,"60,668","63,152",0.545,0.049,"150,319","73,496","2,451","21,891","23,390","15,420",718,"4,773","1,721",653,"8,321","1,917",958,"3,117","10,348","15,487","9,818","4,460","6,775",8904094.0,0.0,68375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372373.0,0.0,0.0,0.0,0.0,0.0
"Santa Maria-Santa Barbara, CA",14944.0,37791.0,5.057682012847966,9872.43512300002,0.2612377318144537,2.6870315845824413,11303.0,5287.349373000008,20103.0,263.0129519474709,1.1334163776910344,0.0061184897776451,1.5207885304087485,1.1502591514460707,1.0046765325390064,0.5380714857282052,27.611721941612867,9826.481263626734,2180447.1016722703,74.536852198,29.573835784,81.20492903720752,2.9444764096662834,3.1238013041810517,3.9048714998082086,0.8223053317990028,7.999616417337936,"78,925","148,309",0.595,0.057,"444,895","159,317","8,647","45,270","54,891","39,501","18,359","12,624","15,180","4,007","20,295","6,682","3,629","9,862","26,892","49,463","25,370","11,025","9,012",35513183.0,764690.0,27934.0,0.0,0.0,0.0,0.0,0.0,228171.0,3526485.0,182650.0,0.0,0.0,0.0,0.0,142767.0
"Santa Rosa-Petaluma, CA",19942.0,48035.0,4.817470664928292,11177.384086999857,0.2326924968668649,2.5211112225453816,13956.0,5834.801307999973,25166.0,231.8525513788434,1.1300043090421326,0.0125168878645791,4.332279673342985,3.0318571417698674,2.428219530701876,1.2675755242524998,51.649754833143255,4603.119259060171,2119685.39216947,84.7611999066,28.252792642000003,84.65619557504999,1.582758175836935,0.7147810101270722,2.5023382571115267,1.4682642069276914,9.075662774946784,"86,173","188,958",0.618,0.046,"496,801","206,498","9,120","53,719","72,893","53,226","6,113","20,462","25,298","6,547","29,830","9,846","5,090","13,242","30,691","54,004","26,516","15,111","11,169",34715634.0,531012.0,143288.0,0.0,333741.0,0.0,0.0,0.0,8034.0,2059016.0,1180724.0,0.0,1475454.0,0.0,0.0,12132.0
"Savannah, GA",20604.0,51259.0,4.975635798874005,12178.887467000011,0.23759510460602068,2.748252766453116,16170.0,6607.634110999951,28330.0,233.23805545358104,1.0855257093167083,0.015884221673138,5.071459269200379,3.980076508589115,2.997705869397473,1.626400080553063,42.12613083713176,4062.7359713072574,1063133.580234847,73.87964133560901,12.892402983785567,88.24248824141071,1.7170503585494237,0.6147331217775001,2.261743773200653,1.7084300869031137,5.455554418158602,"60,851","145,199",0.596,0.071,"390,211","164,474","9,529","47,770","58,458","29,442",762,"11,811","19,020","3,993","21,044","15,206","2,750","10,295","17,939","41,683","22,795","7,425","9,906",26155853.0,33395.0,162431.0,0.0,0.0,425654.0,0.0,0.0,0.0,2080700.0,1330578.0,0.0,0.0,0.0,0.0,0.0
"Scranton--Wilkes-Barre, PA",25809.0,66923.0,5.1860203804874265,17683.709934000035,0.26423964756511265,2.7540392886202487,20412.0,9380.114837000028,35471.0,264.44461213385665,1.0848328188720076,0.0050463759127174,5.605275738525476,4.43313915203154,3.840600963236559,2.037201368531098,21.122454913832463,4604.412200922218,994797.2160303099,101.19901744010467,19.26448138403667,89.69778619848893,0.87899800439499,0.1747125008735625,2.917310514586553,0.8405612542028063,5.490631527453157,"53,853","228,663",0.574,0.053,"554,787","264,290","23,069","84,372","80,800","40,422","2,123","15,177","32,380","8,253","32,612","18,906","4,176","15,524","21,103","66,047","21,912","11,574","12,655",30413097.0,361309.0,213091.0,0.0,171062.0,0.0,0.0,0.0,0.0,1593625.0,1229457.0,0.0,514078.0,0.0,0.0,0.0
"Seattle-Tacoma-Bellevue, WA",149176.0,358253.0,4.803091650131388,59318.808329000705,0.16557798072591354,2.532887327720277,104622.0,31158.48466300008,189344.0,164.56019025160597,1.0905308058680023,0.0098339530167314,9.133304839539678,6.405484923327614,3.631795725766804,1.9076791090074907,209.8720967551085,16333.189641737452,5728454.9542081775,683.1110332496334,113.22759327286667,74.66279434219452,9.107189191760993,0.9695689643755632,3.955235118143992,1.2189385508016957,10.086273832723236,"90,790","1,529,875",0.65,0.044,"3,928,498","1,617,780","126,122","478,727","566,638","358,388","11,235","134,486","204,705","54,599","247,007","110,628","57,293","116,550","349,166","421,062","187,115","91,975","77,968",481736232.0,14071695.0,1635190.0,399391.0,1558556.0,702782.0,0.0,36598118.0,1646682.0,64404265.0,17550198.0,0.0,6460680.0,2019221.0,6574200.0,343038.0
"Sebastian-Vero Beach, FL",8859.0,23012.0,5.19516875493848,4254.745123999994,0.1848924528072307,2.8443390901907666,7330.0,2323.193142999999,12634.0,183.8842126800696,1.0655403770498608,0.0135349058097198,5.549092984753606,4.591359248023922,2.6650836798174704,1.4551997710857856,12.83170265441468,1596.4771223586486,1058816.2308541,88.3511737617,11.643423958255001,88.01266101321959,0.4451666412769343,0.6313580121532185,0.6465918515885509,1.6164796289713772,8.647742852790332,"57,945","60,959",0.446,0.063,"156,964","81,185","2,877","25,614","24,054","8,414",979,"5,151","2,736","1,446","9,265","2,107",692,"3,917","8,370","12,995","7,667","2,973","1,830",7933467.0,95196.0,79193.0,0.0,0.0,0.0,0.0,0.0,0.0,659981.0,581130.0,0.0,0.0,0.0,0.0,0.0
"Sebring-Avon Park, FL",10640.0,29070.0,5.464285714285714,6450.247406000021,0.22188673567251532,2.823966165413534,8881.0,3330.3816260000003,15017.0,221.77409775587668,1.062360321209946,0.0049943397482852,3.7171238073550734,3.1026105764210907,2.2534180635500927,1.1634812809757988,0.9445988334297056,2862.428197561413,562991.07731012,64.7720551171,7.7263116438,89.70199364173872,0.7338740826573967,0.6655376296164245,2.0144397896425708,1.6311614225866835,5.252993433758208,"43,708","42,721",0.387,0.084,"104,574","55,919","2,166","20,588","15,424","4,543","1,419","3,356","1,129",620,"5,595","1,550",255,"1,447","3,003","8,429","3,496","2,156","1,884",2947975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sheboygan, WI",6109.0,16050.0,5.2545424783106895,5128.148015000033,0.3195107797507809,2.8701915207071536,4988.0,2729.3024990000004,8728.0,312.7065191338222,1.0416224459654833,0.0108845096241979,4.544596486480742,3.710664147088876,3.81492281079102,2.030377892862745,2.3187781966362864,1344.2337550040015,651441.38447178,53.093306053304,8.278536037199999,90.863402500937,0.3901325428464343,0.713823298919895,1.9966608743057688,0.7938941701591197,5.242086612831783,"62,101","47,754",0.6409999999999999,0.033,"115,152","51,249","2,576","15,660","19,312","10,206","1,080","2,961","19,561","1,170","6,085","2,102",621,"2,977","3,377","11,112","4,844","2,284","1,274",7793537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sherman-Denison, TX",8825.0,23782.0,5.389688385269122,8135.35047199997,0.342080164494154,2.861983002832861,7313.0,4305.738365999995,12599.0,341.7523903484399,1.0693859974467337,0.0050797682355742,3.46115036963341,2.8681464762752555,3.190670968074792,1.6887034489547463,5.203971603783343,2549.7303085779267,1133441.9772343,69.1347572305,12.475668779500001,90.41844328075096,0.3129002448079636,0.1994131093853861,1.384543052155445,1.0781277865144858,6.60657252638576,"58,296","49,327",0.595,0.044,"133,527","56,749","2,035","16,141","18,417","12,734","1,042","5,653","7,502","1,534","8,686","3,291",863,"4,612","4,735","12,906","5,572","3,542","2,580",5772885.0,0.0,62557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484096.0,0.0,0.0,0.0,0.0,0.0
"Sierra Vista-Douglas, AZ",12946.0,33461.0,5.169318708481384,15920.706207999916,0.4757988765428385,2.652247798547814,9511.0,8240.909755999981,17157.0,480.3234689048191,1.0762856657165791,0.0035554001282275,0.805493542813432,0.5917695879575584,0.9905782517822996,0.5127452182424069,5.032607567442298,16072.13380604163,1155105.0859662099,111.366854203,21.088688827600002,87.71280532938565,0.4991011948820979,0.3574072115892989,3.0432483874378766,2.396108702548377,5.991329174156709,"51,505","50,917",0.434,0.068,"126,442","61,380","3,078","16,500","18,087","13,252","1,280","2,562","1,713",426,"5,041","2,479",603,"1,845","5,677","9,383","3,916","1,882","7,412",7282079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sioux City, IA-NE-SD",10147.0,28831.0,5.682664827042475,13953.98531900009,0.4839924150740553,2.993298511875431,8534.0,7289.592407999986,15082.0,483.3306198116951,1.0363159537924502,0.0043760774433099,1.868942707429312,1.5718495185968018,2.570138868781009,1.3426461585753082,5.041172055611535,5429.27290369268,270884.6428581235,24.660695450634925,4.1441985391000005,91.96789364078944,0.8619619633424817,0.0979188790357059,2.1266325559585706,0.467528168916962,4.478064791956861,"61,399","56,113",0.6679999999999999,0.042,"144,152","60,300","3,319","16,252","20,946","15,596","2,298","5,585","14,401","2,237","8,369","3,654",853,"4,073","4,742","15,630","6,053","3,386","2,205",9871746.0,132902.0,26215.0,0.0,0.0,0.0,0.0,0.0,0.0,556718.0,180594.0,0.0,0.0,0.0,0.0,0.0
"Sioux Falls, SD",15053.0,43482.0,5.777187271640204,20309.19746399999,0.4670713735338759,3.0115591576429948,12691.0,10503.662351000063,22585.0,465.0724972769565,1.020578025962108,0.0023024131060438,2.247649987329852,1.8949661854250408,3.032483054715939,1.5683622234865031,8.379015982496572,6697.217131161317,418586.274527915,34.73062016197073,6.37474281655,90.9427128678391,0.4464565558070695,0.2354170294271286,2.2838237854779733,0.5272505659063207,5.5643391955424,"67,713","104,530",0.721,0.026,"264,437","111,182","4,235","31,855","40,558","27,882","2,848","10,346","15,244","4,814","18,141","5,636","2,529","15,833","11,969","36,226","11,953","6,706","4,168",24991123.0,168437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931994.0,0.0,0.0,0.0,0.0,0.0,0.0
"South Bend-Mishawaka, IN-MI",12750.0,34102.0,5.349333333333333,6876.872575000052,0.20165599011788318,2.831921568627451,10372.0,3634.7838609999976,18001.0,201.92121887672891,1.048552175571348,0.0097772345980778,1.713801576936984,1.394160780861992,0.924360397131748,0.48857241669073687,10.989876061067545,7439.601043422785,962294.961264275,88.1389961014,14.4509040688,88.38089033081587,1.1075949367088609,0.526539729815977,3.6478832039144775,0.81374321880651,5.523348579938305,"55,101","125,606",0.598,0.05,"322,494","143,456","8,374","43,812","48,625","24,795","1,009","7,995","28,690","4,774","16,085","7,299","2,180","7,155","11,344","42,773","12,378","7,545","4,021",17022562.0,240790.0,56760.0,0.0,138903.0,0.0,0.0,0.0,0.0,1321963.0,525759.0,0.0,579032.0,0.0,0.0,0.0
"Spartanburg, SC",18856.0,46326.0,4.913661434026305,12107.013733000085,0.26134381843889143,2.568466270683072,13898.0,6335.046419999989,24187.0,261.9194782321077,1.077564769579175,0.0052507545375615,8.89506171207806,6.556192600469924,5.711319171829249,2.988472043634869,40.66363668881141,2119.8279011821346,2149000.01568171,173.574548847671,36.332807532980006,93.27328840461044,0.3317167390984862,0.0811796239143974,1.061633529983974,0.8404890372516498,4.411692665141049,"53,757","118,788",0.583,0.054,"313,791","131,725","6,272","35,260","45,045","32,211",729,"8,260","30,164","4,179","16,155","9,247","2,276","6,634","12,847","31,237","12,150","7,117","4,474",19120459.0,0.0,156182.0,5351.0,0.0,0.0,0.0,0.0,0.0,0.0,395904.0,0.0,0.0,38910.0,0.0,0.0
"Spokane-Spokane Valley, WA",26802.0,71805.0,5.358182225207074,24612.543229000225,0.3427692114616005,2.8106857697186776,21207.0,12636.567490000034,37633.0,335.7842183721743,1.1111357295233038,0.0022586559668376,2.398817648507706,1.8980570805127568,2.2028581103046254,1.1309910122965006,28.49663114361969,11173.004340981654,1345315.0347124238,157.3281396969953,32.01100830545,85.57042470615204,2.337346159622484,0.4094505616112432,2.6875133387610566,1.0418066413197271,7.953458592533455,"59,656","224,385",0.5710000000000001,0.055,"558,635","241,918","15,990","64,487","83,105","60,803","3,840","17,401","19,107","8,735","29,905","13,291","4,130","17,318","24,449","69,690","24,181","11,885","12,235",34411428.0,1323191.0,123409.0,0.0,0.0,0.0,0.0,0.0,0.0,9028211.0,1491283.0,0.0,0.0,0.0,0.0,0.0
"Springfield, IL",12705.0,33357.0,5.251003541912633,10095.172499999973,0.3026403003867246,2.831719795356159,10241.0,5342.216674000013,17962.0,297.41769702705784,1.0550123258419772,0.0038414430464313,4.115771498809264,3.317561268737164,3.270320602208812,1.7306055196625634,16.037948462510005,3086.9060645557443,662219.473886987,53.1210709432559,9.4259736138819,89.35729869706176,1.0399037579267174,0.4985420957119262,1.4466896397039333,1.1816161327814367,6.475949676814224,"62,590","89,304",0.594,0.05,"208,224","97,689","6,815","33,050","32,929","16,510","1,659","4,690","5,238","2,258","10,254","4,524","1,375","7,470","8,927","27,720","8,193","4,875","12,129",13815743.0,0.0,90905.0,0.0,237301.0,167039.0,0.0,0.0,0.0,1040198.0,577912.0,0.0,510837.0,0.0,0.0,0.0
"Springfield, MA",22344.0,58277.0,5.216344432509846,13469.697911999776,0.23113231484118568,2.7667382742570714,18497.0,7076.243313000054,30899.0,229.01204935434976,1.0827888750735826,0.0326224149648856,4.676876427229628,3.871651596601612,2.8193748946713164,1.481145522015361,50.41114918129218,4777.547653367354,1077174.0760269933,94.18442565446666,14.6086791333,85.28492557641793,2.1241730713104388,0.4584589940655706,4.156836754548108,1.024844342834906,6.950761260823038,"61,360","270,889",0.579,0.06,"698,537","291,991","30,601","100,005","94,672","45,611","2,674","16,828","34,805","8,180","36,483","16,477","5,301","19,710","26,756","111,073","27,861","14,333","15,334",41192172.0,1080075.0,307684.0,0.0,0.0,0.0,0.0,0.0,154874.0,3123717.0,2223689.0,0.0,0.0,0.0,0.0,67374.0
"Springfield, MO",39289.0,96594.0,4.917101478785411,28517.901579000438,0.2952347100130488,2.5431800249433683,28133.0,14774.030074000048,49874.0,296.22709375626675,1.0809299177119245,0.0129526406544492,5.00874769697452,3.586528009340633,3.6355970845876557,1.8834632876423432,7.665401851871917,7844.076479183031,660776.6505513054,47.67475454716,9.5946673516,91.0419525946808,0.6009124967543306,0.2791275640787863,1.8018101561630624,0.8670573834341037,5.4091398048889054,"50,496","191,961",0.588,0.039,"466,897","205,370","11,829","64,267","72,934","42,931","2,753","14,525","19,482","6,930","28,699","12,321","3,392","14,857","20,502","55,260","21,587","12,773","6,696",24198665.0,204255.0,17420.0,0.0,0.0,0.0,0.0,0.0,0.0,905580.0,125850.0,0.0,0.0,0.0,0.0,0.0
"Springfield, OH",5695.0,15170.0,5.327480245829675,4169.1350789999915,0.27482762551087614,2.802107111501317,4600.0,2230.325804999995,7931.0,281.21621548354494,1.0515482918454695,0.0068087252553271,5.473837567773737,4.421361336568777,4.007228835918082,2.14371223525622,2.942981104242106,1040.403543124538,922636.67425578,70.604530204016,12.840251806100001,90.92372881355932,0.6254237288135592,0.3423728813559322,2.5271186440677966,0.4338983050847457,5.147457627118644,"51,504","54,862",0.5539999999999999,0.068,"134,409","61,283","4,153","17,784","19,809","13,116",786,"3,026","11,041","1,634","6,777","2,968",629,"2,693","4,707","14,523","5,321","2,628","3,056",5363333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"St. Cloud, MN",12576.0,32241.0,5.127385496183206,13968.141182000052,0.4332415614279971,2.723998091603053,9625.0,7303.372605999989,17051.0,428.32517776083455,1.0480588745139874,0.0048091021054483,2.6935744531737846,2.061518297693836,2.991748429243004,1.5642635077553133,7.893659294011572,4668.888949842078,780283.89911509,60.528522233249994,9.11311346085,87.31974757521822,1.4144163866706008,0.2693673199379408,4.116656037920826,0.8280903475123976,6.051722332740027,"64,118","76,058",0.679,0.046,"200,264","82,381","3,978","22,360","30,225","19,495","3,300","7,710","14,909","2,525","13,120","5,793","1,085","6,032","6,815","30,059","8,060","4,800","3,080",12442996.0,67539.0,0.0,0.0,344362.0,0.0,0.0,0.0,0.0,411673.0,0.0,0.0,1446828.0,0.0,0.0,0.0
"St. George, UT",11271.0,28379.0,5.035755478662053,6098.671672000031,0.21490086585151102,2.656729660189868,8494.0,3225.571503999995,14981.0,215.31082731459816,1.1078335916323463,0.0030038048194379,1.7900442324841774,1.3490050315606958,0.9685823841964593,0.5122806909059094,15.91520695818364,6296.4924527917365,1215750.1657801499,82.7770358444,16.5378389502,86.79688378895264,0.3192147598155023,0.4204634942063224,1.4512318596017548,1.4188885138935765,9.593317583530206,"61,747","59,699",0.545,0.034,"172,127","71,482","2,050","16,492","24,304","16,853",841,"7,167","4,552","1,465","10,141","4,022","1,139","4,031","7,373","17,359","8,451","3,023","2,624",8487255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"St. Joseph, MO-KS",10640.0,28837.0,5.420488721804511,12740.991703000092,0.4418279190969966,2.82406015037594,8549.0,6610.090119999968,14952.0,442.0873542001049,1.0530537338901664,0.0050829320492241,2.458940443646442,1.975703181647879,2.944486822431455,1.5276144673135044,2.8336712415433705,4327.066980207785,279765.397362263,20.012627380471653,3.7527889983750002,92.494410160093,0.502638404436097,0.0626062069582327,1.7154100706555764,1.1787854395850104,4.046149718272068,"53,298","47,244",0.562,0.044,"124,946","54,088","3,831","15,204","16,803","11,406","1,272","3,780","9,849","1,104","6,095","3,684",683,"2,903","3,591","13,869","4,758","2,564","2,661",6894704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"St. Louis, MO-IL",159275.0,402096.0,5.049078637576518,89564.9082009978,0.22274508625054165,2.6828818081933763,122818.0,47249.25417500042,213885.0,220.90962047362092,1.0874270873893557,0.0296280711597353,7.607051913120697,5.865847759319778,4.277663828465735,2.256647492484464,66.03046100252911,20937.808998684675,1719502.234999915,132.67391920119303,23.776374326336988,88.27308964439933,1.9353679083069737,0.2081832474565406,1.5953015841850031,0.8908423914220417,7.097215224230105,"65,725","1,137,735",0.623,0.046,"2,806,349","1,262,226","79,384","380,422","436,590","241,339","11,657","86,531","153,239","39,375","152,150","74,406","27,359","115,141","158,460","340,276","127,153","66,121","52,751",191891956.0,9946129.0,154885.0,0.0,0.0,0.0,0.0,72992296.0,0.0,48501904.0,1045025.0,0.0,0.0,0.0,11868756.0,0.0
"State College, PA",6016.0,14798.0,4.919547872340425,6412.792760999985,0.43335536971212224,2.648271276595745,4583.0,3376.454207999997,7971.0,423.5922980805416,1.1109921795990665,0.0145527537322795,2.0843455366384025,1.5878583102416557,2.221821138427091,1.1698299963611611,15.339122431798115,2886.277680092574,911972.26686966,91.197899095,14.250520763599999,77.08192684960883,5.09511139351098,1.8664866367499304,7.796883893941199,0.9319195689871992,7.227671657201859,"61,921","59,380",0.5489999999999999,0.0409999999999999,"162,264","67,062","5,843","20,363","21,852","11,322",851,"3,241","5,658","1,124","7,203","2,408",865,"3,381","6,656","31,751","8,493","2,857","2,863",12908455.0,341.0,73839.0,0.0,539333.0,0.0,0.0,0.0,0.0,5546.0,834565.0,0.0,1654915.0,0.0,0.0,0.0
"Stockton, CA",23392.0,59941.0,5.124914500683994,13326.31446299983,0.2223238595118505,2.7930916552667577,18467.0,7253.957818000016,32716.0,221.72508307861645,1.0661174643582412,0.0024452867098667,6.335383520549462,5.001518787362642,3.6092387584879053,1.9646291389756427,45.47719268695343,3692.2784428323343,4001623.7039052,113.1598428839,56.39241916899999,90.77369621595942,1.628936895778626,0.2948095940022843,1.3178574566327277,0.8076351129289951,5.17706472469795,"68,628","231,092",0.56,0.072,"751,615","245,192","12,841","60,692","83,565","73,994","14,472","27,114","30,223","9,655","37,996","27,176","4,015","14,579","30,877","65,614","25,917","15,573","16,597",38177705.0,834133.0,273001.0,0.0,0.0,89299.0,0.0,0.0,652030.0,1930586.0,1764981.0,0.0,0.0,0.0,0.0,236651.0
"Sumter, SC",13746.0,34501.0,5.019787574567147,11459.446940000069,0.33214825483319516,2.604030263349338,10383.0,5923.543454000024,17855.0,331.75824441333094,1.0822891936446413,0.0236908429011481,3.8596504968199135,2.91537546256956,3.2176240415577397,1.663233481388443,13.32108112280424,3561.4623685035103,562584.083673958,55.62954070093701,7.7330526247385,93.54889812011548,0.2798704499049496,0.2763500668872773,1.7901147644863762,1.3043019080475955,2.800464690558333,"45,854","54,479",0.489,0.092,"140,540","66,291","4,962","16,656","19,065","13,796","1,041","3,858","8,348","1,125","5,842","3,225",789,"2,306","4,242","12,842","4,696","3,009","3,496",6625144.0,18425.0,65151.0,4340.0,0.0,0.0,0.0,0.0,0.0,78028.0,837472.0,0.0,0.0,81321.0,0.0,0.0
"Syracuse, NY",24780.0,66376.0,5.357223567393059,22319.30600600014,0.3362556647884799,2.7955205811138013,20381.0,11622.812123999913,34544.0,336.46399154701,1.0640255900247098,0.0134031959240389,3.3384346906060043,2.745788435401169,3.006922737719202,1.565859531765834,59.495481476033184,7422.64033791892,1084117.2207794234,94.07138008611166,13.813240555999998,86.71555539420662,2.017155058894195,0.2716162652928538,3.769954554605431,1.197025752390256,6.028692974610645,"61,890","259,905",0.5820000000000001,0.057,"650,211","296,071","27,730","91,017","99,398","41,760","3,115","17,700","26,702","8,541","34,593","17,477","5,835","19,284","29,244","93,411","26,619","13,495","12,451",48446096.0,337602.0,202481.0,0.0,893482.0,0.0,0.0,0.0,0.0,1798119.0,728196.0,0.0,2885314.0,0.0,0.0,0.0
"Tallahassee, FL",21369.0,50871.0,4.761196125228135,14283.536269000078,0.28077954569401187,2.631522298656933,16210.0,7647.031639999938,28196.0,271.2098042275478,1.0851275281083492,0.0067740104979429,3.167301453002799,2.4026373041871576,2.1170979071936977,1.1334388331007619,11.409984677969476,6746.752816894286,637880.3112372415,47.470317662443,7.8213641340475,88.43365553602813,1.4251977152899824,0.5272407732864675,1.9782513181019328,1.000659050966608,6.634995606326889,"53,423","150,862",0.5820000000000001,0.059,"384,783","172,558","9,754","54,561","57,308","29,239","1,750","9,813","5,890","2,368","20,214","6,412","2,128","9,625","23,163","48,605","18,834","9,150","27,962",23830845.0,1584436.0,48767.0,0.0,200860.0,0.0,0.0,0.0,147473.0,2207793.0,92122.0,0.0,497558.0,0.0,0.0,139507.0
"Tampa-St. Petersburg-Clearwater, FL",124563.0,315501.0,5.065725777317502,51336.67003299941,0.1627147617059832,2.814752374300555,100245.0,28466.824173000023,175612.0,162.1006774764824,1.0822432862939302,0.007396988816254,14.44160940521334,11.62222437501996,5.951880869767892,3.3003922168970847,222.73007888519476,8625.285209211756,4322065.990190412,313.035704260099,51.2307183947225,85.60264907953845,1.1471362195014534,0.5805871796001058,1.3668606315511318,1.6270479168501717,9.67571897295869,"57,097","1,239,349",0.5660000000000001,0.054,"3,152,928","1,436,297","79,007","504,910","472,934","182,498","10,825","103,526","84,696","37,788","179,549","71,604","26,417","142,265","212,710","326,783","151,992","69,708","52,679",192269410.0,3573829.0,575423.0,0.0,1142321.0,0.0,0.0,738468.0,58322.0,15306098.0,3040561.0,0.0,4463678.0,0.0,114746.0,22508.0
