msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Income,Employment Rate,Unemployment Rate,    Total population,Total housing units
"Bloomington, IN",7717,19047,4.9363742386937925,6274.297861000077,0.32941134357117013,2.593235713360114,5666,3223.6351250000157,9956,323.7881804941759,1.0841163463694474,0.0114503816793893,3.7305179891222897,2.739032645635207,3.0330933056333147,1.5583554262250923,10.209268767409933,2068.6135336974057,459149.74676122004,38.690829639428,6.230305011899999,82.01959790922683,2.549211017336612,1.2356815401534718,6.096852719117229,0.7426446056322364,7.356012208533616,"52,226",0.58,0.063,"168,172","72,307"
"Bloomsburg-Berwick, PA",6107,16016,5.245128541018503,6281.489434000032,0.3922008887362657,2.732438185688554,4861,3226.3100059999892,8262,390.4998796901464,1.0819469158783177,0.0077463083999031,3.7745818830100606,3.004460870036336,3.882429378728613,1.994100425351505,2.202038481446424,1617.9275451642714,306371.7303709675,25.75827078944605,5.111286221925,88.97768472654853,0.3089414287902772,0.1480876270234387,3.492825409794209,0.6229893274779145,6.449471480365624,"53,546",0.563,0.039,"83,568","38,522"
"Birmingham-Hoover, AL",78431,189591,4.834593464318956,47035.196514000665,0.24808770729623592,2.524945493491094,55084,24575.308492000222,98997,248.2429618271283,1.0926746375976344,0.0064143357879531,6.638502561209091,4.662381903604972,3.981120635018886,2.08008629708466,30.1243205090974,11814.56198545401,1548987.9721931417,122.82899862027033,21.01825636625,92.00419150711132,0.5123405294321118,0.1023460231550247,1.1280444381142287,0.7900787433617514,5.462998758825564,"59,185",0.575,0.0559999999999999,"1,088,170","487,435"
"Boise City, ID",43821,111007,5.066383697314073,34176.71923499992,0.3078789556964869,2.631249857374318,33086,17426.396137999967,58009,300.40849071695715,1.127429861793831,0.0074815976831181,1.43122679946098,1.080613630153716,1.1162373402429304,0.5691591969769944,73.02067763343719,30617.788890274835,781925.1590361818,93.6383556292678,13.934480741175202,86.39637326893835,0.2750515545349654,1.2119194649048322,1.883045257970148,1.321657982560321,8.911952471091377,"64,717",0.632,0.04,"730,483","283,450"
"Boulder, CO",14392,36240,5.036131183991106,6702.837937000082,0.1849568967163378,2.743468593663146,11311,3553.0503990000025,19740,179.99242142857156,1.1195170550556912,0.0130699088145896,7.50168579802257,5.895745418387527,3.4937871149555595,1.8519919203610853,18.20133490965292,1918.5021057258496,1342979.46793222,161.1863942537,24.755431274696,69.65574503417002,4.757093835461339,3.9761477584815386,4.601485249118896,0.9028781782182816,16.106649944549925,"87,476",0.649,0.045,"324,682","135,409"
"Bowling Green, KY",11171,27250,4.878703786590278,11050.134449000047,0.4055095210642219,2.54372929907797,8105,5722.810554999992,14160,404.1532877824853,1.0986694956676253,0.0140536723163841,2.631664371044597,1.909376038610372,2.603190862473006,1.3481798084174594,6.751971606417863,4244.842208190039,321902.47608574876,20.7132866362875,4.031831773425,91.46265216804991,0.1936962891223596,0.1091074033663924,2.9446739650120755,1.6304814210932808,3.659388753355972,"51,591",0.605,0.053,"176,852","76,214"
"Bremerton-Silverdale-Port Orchard, WA",12374,28776,4.651042508485534,6541.792045999992,0.22733500298860135,2.385485695813803,7977,3379.4082850000214,14763,228.9106743209389,1.1049544594383085,0.0092122197385355,8.530875918369869,5.499498723196739,4.51003848619726,2.3298297039636577,3.989498285458119,1450.4958363483615,1104276.75358511,121.535114846586,26.511047092099997,75.81468455289614,8.31102742071026,0.4886551090914749,5.46857978773071,1.843350244327555,8.073702885243861,"78,969",0.527,0.044,"268,945","113,730"
"Bridgeport-Stamford-Norwalk, CT",30857,77301,5.01027319570924,15506.861320000227,0.2006036315183533,2.634086268917912,23833,8163.304714999944,40624,200.94783170047128,1.091871271547315,0.0225728633320204,16.553302056655195,12.785262595724252,8.318688122002355,4.379221853320531,68.32242502141834,1864.099373912775,4258834.3812833,386.6483978928,65.453331217,77.70678185523668,9.274474366697856,0.133731537143614,2.505650477887298,1.1766666239409358,9.202695139093615,"97,539",0.629,0.066,"944,306","374,329"
"Brownsville-Harlingen, TX",15184,40115,5.283851422550053,10338.105756999952,0.2577117227221726,2.815595363540569,12290,5519.015506000018,21369,258.2720532547156,1.068539078009165,0.0044456923580888,3.920060420297138,3.172915079389609,2.668993624793302,1.4248468285087492,10.41596344950044,3873.409685570373,1866858.85503107,154.9916488535,30.3611636834,91.024881881993,0.5902816328041153,0.2029285864081023,1.62836312497687,1.318727409545662,5.234817364272232,"41,200",0.531,0.0559999999999999,"422,135","152,544"
"Boston-Cambridge-Newton, MA-NH",166287,415686,4.999621136949972,70762.2086919996,0.17022995408072347,2.696398395545052,132633,38059.163872000325,224475,169.54745014812482,1.093933780479568,0.0283995990644837,15.000228940013931,11.96440710940042,6.3832369979675985,3.433197852781708,271.781972619872,11085.630803701955,3041779.842122637,242.8853354652139,44.037911421718285,71.34573769868992,12.26816441185615,0.9920442624641308,5.268495480945695,1.345249236098781,8.780308909945331,"93,537",0.6559999999999999,0.049,"4,854,808","1,972,346"
