"Label (Grouping)","Total:","Total:!!Car, truck, or van:","Total:!!Car, truck, or van:!!Drove alone","Total:!!Car, truck, or van:!!Carpooled:","Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Total:!!Public transportation (excluding taxicab):","Total:!!Public transportation (excluding taxicab):!!Bus","Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Total:!!Public transportation (excluding taxicab):!!Ferryboat","Total:!!Bicycle","Total:!!Walked","Total:!!Taxicab, motorcycle, or other means","Total:!!Worked from home","Total:!!Male:","Total:!!Male:!!Car, truck, or van:","Total:!!Male:!!Car, truck, or van:!!Drove alone","Total:!!Male:!!Car, truck, or van:!!Carpooled:","Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Total:!!Male:!!Public transportation (excluding taxicab):","Total:!!Male:!!Public transportation (excluding taxicab):!!Bus","Total:!!Male:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Total:!!Male:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Total:!!Male:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Total:!!Male:!!Public transportation (excluding taxicab):!!Ferryboat","Total:!!Male:!!Bicycle","Total:!!Male:!!Walked","Total:!!Male:!!Taxicab, motorcycle, or other means","Total:!!Male:!!Worked from home","Total:!!Female:","Total:!!Female:!!Car, truck, or van:","Total:!!Female:!!Car, truck, or van:!!Drove alone","Total:!!Female:!!Car, truck, or van:!!Carpooled:","Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Total:!!Female:!!Public transportation (excluding taxicab):","Total:!!Female:!!Public transportation (excluding taxicab):!!Bus","Total:!!Female:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Total:!!Female:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Total:!!Female:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Total:!!Female:!!Public transportation (excluding taxicab):!!Ferryboat","Total:!!Female:!!Bicycle","Total:!!Female:!!Walked","Total:!!Female:!!Taxicab, motorcycle, or other means","Total:!!Female:!!Worked from home"
"Ames, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","64,136","52,039","47,316","4,723","3,918","506","299","2,807","2,807","0","0","0","0","1,053","3,653","347","4,237","33,541","26,742","24,419","2,323","1,896","212","215","1,642","1,642","0","0","0","0","751","2,066","208","2,132","30,595","25,297","22,897","2,400","2,022","294","84","1,165","1,165","0","0","0","0","302","1,587","139","2,105"
"    Margin of Error","±1,319","±1,229","±1,202","±658","±582","±208","±129","±515","±515","±23","±23","±23","±23","±261","±422","±163","±444","±830","±850","±806","±442","±408","±96","±116","±432","±432","±23","±23","±23","±23","±196","±300","±114","±346","±794","±803","±817","±395","±337","±153","±57","±246","±246","±23","±23","±23","±23","±127","±269","±83","±323"
"Anchorage, AK Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","194,009","167,790","144,736","23,054","17,685","2,951","2,418","2,615","2,592","2","0","0","21","1,736","4,808","5,452","11,608","105,283","90,656","79,034","11,622","9,002","1,152","1,468","1,494","1,472","1","0","0","21","1,284","2,939","3,857","5,053","88,726","77,134","65,702","11,432","8,683","1,799","950","1,121","1,120","1","0","0","0","452","1,869","1,595","6,555"
"    Margin of Error","±1,569","±1,787","±1,797","±1,400","±1,208","±462","±599","±531","±530","±8","±23","±23","±22","±317","±623","±410","±950","±1,295","±1,441","±1,396","±811","±764","±238","±445","±384","±386","±4","±23","±23","±22","±289","±505","±333","±548","±1,092","±1,319","±1,421","±977","±796","±377","±234","±358","±358","±5","±23","±23","±23","±132","±361","±291","±679"
"Ann Arbor, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","184,500","141,492","128,343","13,149","10,447","1,711","991","8,642","8,455","143","4","40","0","2,717","13,652","1,235","16,762","95,977","74,004","67,724","6,280","4,988","789","503","4,222","4,173","45","4","0","0","1,958","6,246","709","8,838","88,523","67,488","60,619","6,869","5,459","922","488","4,420","4,282","98","0","40","0","759","7,406","526","7,924"
"    Margin of Error","±2,123","±2,135","±1,967","±901","±809","±351","±220","±805","±788","±108","±6","±49","±26","±479","±1,076","±338","±1,382","±1,546","±1,431","±1,445","±559","±474","±229","±141","±496","±486","±45","±6","±26","±26","±350","±586","±183","±952","±1,414","±1,409","±1,246","±538","±481","±194","±136","±507","±494","±89","±26","±49","±26","±258","±857","±242","±750"
"Anniston-Oxford, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","47,349","44,995","40,053","4,942","3,832","481","629","289","246","0","0","43","0","0","576","317","1,172","25,079","23,774","20,667","3,107","2,375","307","425","197","154","0","0","43","0","0","401","223","484","22,270","21,221","19,386","1,835","1,457","174","204","92","92","0","0","0","0","0","175","94","688"
"    Margin of Error","±1,068","±1,095","±1,065","±592","±516","±222","±263","±139","±119","±29","±29","±66","±29","±29","±198","±124","±291","±610","±667","±713","±474","±390","±214","±226","±122","±102","±29","±29","±66","±29","±29","±150","±116","±190","±870","±846","±803","±304","±285","±135","±96","±57","±57","±29","±29","±29","±29","±29","±102","±55","±199"
"Appleton, WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","126,593","114,816","106,821","7,995","5,992","1,273","730","522","517","0","0","0","5","362","2,865","788","7,240","66,994","61,378","57,273","4,105","3,010","764","331","226","223","0","0","0","3","196","1,436","524","3,234","59,599","53,438","49,548","3,890","2,982","509","399","296","294","0","0","0","2","166","1,429","264","4,006"
"    Margin of Error","±1,052","±1,188","±1,226","±644","±517","±319","±182","±147","±146","±22","±22","±22","±9","±130","±351","±162","±563","±754","±800","±824","±437","±306","±254","±130","±92","±92","±22","±22","±22","±5","±76","±245","±124","±387","±794","±835","±847","±372","±311","±153","±122","±98","±97","±22","±22","±22","±5","±102","±224","±104","±418"
"Arecibo, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","50,662","47,940","45,794","2,146","1,584","323","239","231","143","0","0","71","17","5","815","129","1,542","28,047","26,371","25,446","925","596","168","161","92","38","0","0","37","17","5","483","95","1,001","22,615","21,569","20,348","1,221","988","155","78","139","105","0","0","34","0","0","332","34","541"
"    Margin of Error","±1,468","±1,562","±1,557","±403","±329","±155","±111","±149","±138","±34","±34","±45","±28","±8","±292","±77","±365","±1,050","±1,113","±1,100","±226","±174","±116","±86","±59","±40","±34","±34","±36","±28","±8","±209","±62","±283","±1,043","±1,098","±1,086","±262","±228","±85","±67","±140","±131","±34","±34","±40","±34","±34","±148","±41","±187"
"Asheville, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","216,891","188,444","171,251","17,193","12,827","2,963","1,403","1,068","951","17","0","16","84","473","4,233","2,305","20,368","111,819","96,333","87,526","8,807","6,543","1,397","867","416","357","0","0","16","43","389","2,204","1,450","11,027","105,072","92,111","83,725","8,386","6,284","1,566","536","652","594","17","0","0","41","84","2,029","855","9,341"
"    Margin of Error","±2,523","±2,657","±2,884","±1,307","±1,116","±586","±308","±286","±259","±27","±31","±25","±79","±133","±721","±492","±1,260","±1,654","±1,813","±1,950","±868","±713","±424","±216","±213","±193","±31","±31","±25","±44","±130","±459","±372","±1,003","±1,686","±1,671","±1,869","±840","±707","±358","±190","±235","±235","±27","±31","±31","±42","±43","±408","±226","±842"
"Athens-Clarke County, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","98,781","83,627","75,181","8,446","6,278","1,561","607","2,038","2,025","13","0","0","0","762","3,571","1,051","7,732","50,564","42,669","38,523","4,146","3,088","763","295","1,165","1,158","7","0","0","0","610","1,608","710","3,802","48,217","40,958","36,658","4,300","3,190","798","312","873","867","6","0","0","0","152","1,963","341","3,930"
"    Margin of Error","±1,406","±1,478","±1,607","±846","±694","±411","±289","±448","±446","±15","±33","±33","±33","±229","±477","±368","±938","±893","±1,014","±1,218","±596","±460","±267","±155","±391","±390","±11","±33","±33","±33","±202","±387","±326","±532","±1,111","±1,133","±1,121","±482","±438","±259","±181","±171","±169","±10","±33","±33","±33","±89","±410","±146","±604"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,896,704","2,436,522","2,177,215","259,307","191,036","41,511","26,760","80,649","52,161","23,762","3,160","1,208","358","5,454","36,505","48,583","288,991","1,500,157","1,261,660","1,121,287","140,373","99,018","24,212","17,143","40,529","24,868","13,062","1,710","580","309","4,174","20,421","26,948","146,425","1,396,547","1,174,862","1,055,928","118,934","92,018","17,299","9,617","40,120","27,293","10,700","1,450","628","49","1,280","16,084","21,635","142,566"
"    Margin of Error","±8,958","±10,556","±9,795","±5,418","±5,201","±2,071","±1,543","±2,763","±2,233","±1,301","±566","±396","±259","±665","±1,854","±2,707","±5,908","±5,024","±7,025","±6,590","±3,530","±3,226","±1,310","±1,240","±1,783","±1,562","±1,144","±395","±258","±258","±515","±1,278","±1,784","±3,903","±6,408","±6,781","±6,856","±3,838","±3,256","±1,444","±944","±2,081","±1,519","±911","±366","±272","±45","±320","±1,312","±1,855","±3,927"
